locid,siteno,airport_name,width,facility_id,start_x,start_y,end_x,end_y
ADK,50009.*A,ADAK,50,10606011,-176.65749444400,51.87833888890,-176.62746111100,51.88882500000
ADK,50009.*A,ADAK,50,10606011,-176.64786111100,51.88270277780,-176.65102777800,51.86196111110
AKK,50016.1*A,AKHIOK,50,10585411,-154.18991333300,56.93657666670,-154.17608416700,56.94055055560
AKI,50020.*A,AKIAK,50,10603111,-161.23716075000,60.89991188890,-161.22402666700,60.90587238890
7AK,50022.1*A,AKUTAN,50,17150811,-165.61448055600,54.14554444440,-165.59373333300,54.14367777780
6A8,50029.1*A,ALLAKAKET,50,10547611,-152.63534405600,66.55030280560,-152.60899238900,66.55336186110
AFM,50029.61*A,AMBLER,50,10566711,-157.86801944400,67.10933888890,-157.85244722200,67.10683611110
AFM,50029.61*A,AMBLER,50,10566711,-157.85124722200,67.10868611110,-157.85928055600,67.10110555560
AKP,50032.*A,ANAKTUVUK PASS,50,10571911,-151.75425183300,68.12845669440,-151.73242277800,68.13874127780
ANC,50034.*A,TED STEVENS ANCHORAGE INTL,50,10604711,-150.00833327800,61.16976497220,-149.94830072200,61.16981116670
ANC,50034.*A,TED STEVENS ANCHORAGE INTL,50,10604711,-150.04287130600,61.16781155560,-149.97264861100,61.16788116670
ANC,50034.*A,TED STEVENS ANCHORAGE INTL,50,10604711,-150.01467688900,61.19999136110,-149.99755941700,61.16940383330
MRI,50035.*A,MERRILL FIELD,50,10603611,-149.84514055600,61.20967194440,-149.83476555600,61.21188472220
MRI,50035.*A,MERRILL FIELD,50,10603611,-149.85330555600,61.21590277780,-149.83062222200,61.21590000000
MRI,50035.*A,MERRILL FIELD,50,10603611,-149.85251666700,61.21568055560,-149.85252500000,61.20846111110
EDF,50036.*A,ELMENDORF AFB,50,11322711,-149.84425833300,61.24863333330,-149.78833611100,61.25338055560
EDF,50036.*A,ELMENDORF AFB,50,11322711,-149.79347777800,61.26206388890,-149.79349166700,61.24156666670
FRN,50036.5*A,BRYANT AAF,50,11329111,-149.65102055600,61.27138055560,-149.65559472200,61.26041805560
ANI,50038.*A,ANIAK,50,10603011,-159.55777111100,61.58584583330,-159.52831750000,61.57734666670
ANN,50039.*A,ANNETTE ISLAND,50,10564211,-131.57216277800,55.03734111110,-131.55255144400,55.04818688890
ANN,50039.*A,ANNETTE ISLAND,50,10564211,-131.58606558300,55.05091052780,-131.56874997200,55.03295983330
ANV,50039.1*A,ANVIK,50,10547411,-160.18874436100,62.65276350000,-160.19138380600,62.64189247220
ARC,50039.8*A,ARCTIC VILLAGE,50,10547311,-145.59098333300,68.11028888890,-145.56784722200,68.11905000000
AKA,50040.5*A,ATKA,50,10605911,-174.20877500000,52.22653611110,-174.20363333300,52.21461944440
ATK,50044.5*A,ATQASUK EDWARD BURNELL SR MEMORIAL,50,10571711,-157.45328455600,70.46618063890,-157.41804116700,70.46804313890
BRW,50054.3*A,WILEY POST-WILL ROGERS MEMORIAL,50,10568411,-156.79877686100,71.28486819440,-156.73837161100,71.28487797220
BTI,50055.5*A,BARTER ISLAND LRRS,50,10568311,-143.60119255600,70.13432783330,-143.56253816700,70.13364833330
WBQ,50058.*A,BEAVER,50,10540411,-147.41928755600,66.36061558330,-147.39371791700,66.36382252780
BET,50061.1*A,BETHEL,50,10602711,-161.84350350000,60.77176911110,-161.82924852800,60.78782747220
BET,50061.1*A,BETHEL,50,10602711,-161.83991691700,60.77100663890,-161.83100552800,60.78104205560
BET,50061.1*A,BETHEL,50,10602711,-161.84768066700,60.78131605560,-161.83954988900,60.77815044440
BTT,50062.*A,BETTLES,50,10547211,-151.53868975000,66.90794500000,-151.51939533300,66.91993744440
BGQ,50068.6*A,BIG LAKE,50,10577111,-149.82087222200,61.53612777780,-149.80692222200,61.53611666670
Z91,50068.78*A,BIRCH CREEK,50,10540011,-145.81551061100,66.27981927780,-145.82090197200,66.26910308330
BCV,50069.*A,BIRCHWOOD,50,10604511,-149.51618761100,61.41175975000,-149.50166127800,61.42023044440
BCV,50069.*A,BIRCHWOOD,50,10604511,-149.51166388900,61.41356666670,-149.50376111100,61.41824444440
KTS,50072.5*A,BREVIG MISSION,50,10575011,-166.47331402800,65.33032647220,-166.46204919400,65.33366163890
KTS,50072.5*A,BREVIG MISSION,50,10575011,-166.47186391700,65.33345736110,-166.45681097200,65.32823963890
BVK,50073.1*A,BUCKLAND,50,10566411,-161.15826050000,65.98386691670,-161.14001333300,65.97925888890
LUR,50082.*A,CAPE LISBURNE LRRS,50,10567811,-166.12896666700,68.87634444440,-166.09319722200,68.87391111110
CZF,50088.*A,CAPE ROMANZOF LRRS,50,10550911,-166.04247250000,61.77711666670,-166.03145833300,61.78650027780
CEM,50090.*A,CENTRAL,50,10547111,-144.78982363900,65.57483869440,-144.77196233300,65.57307008330
CIK,50092.*A,CHALKYITSIK,50,10546911,-143.75099972200,66.64176861110,-143.72886055600,66.64827583330
CFK,50095.12*A,CHEFORNAK,50,10602611,-164.27951388900,60.14120833330,-164.27858333300,60.13238333330
C05,50095.7*A,CHENEGA BAY,50,12421111,-147.99511666700,60.08266111110,-147.99435277800,60.07446111110
VAK,50096.22*A,CHEVAK,50,10549711,-165.60588888900,61.53717533330,-165.59589477800,61.54451488890
AJC,50097.53*A,CHIGNIK,50,10580811,-158.37685944400,56.30852833330,-158.36961694400,56.31439694440
CZO,50101.*A,CHISTOCHINA,50,12309011,-144.67648936100,62.56022355560,-144.66841552800,62.56444916670
9A3,50104.37*A,CHUATHBALUK,50,11753511,-159.22498697200,61.58037941670,-159.20627244400,61.57774975000
CRC,50106.5*A,CIRCLE CITY,50,10546811,-144.07619511100,65.83199633330,-144.07618094400,65.82385261110
CLP,50108.3*A,CLARKS POINT,50,10595511,-158.52678938900,58.83784941670,-158.53199802800,58.82952102780
Z84,50109.01*A,CLEAR,50,10596111,-149.12358108300,64.29586847220,-149.10950166700,64.30492755560
CDB,50114.*A,COLD BAY,50,10608011,-162.73223611100,55.19920277780,-162.70249166700,55.19778055560
CDB,50114.*A,COLD BAY,50,10608011,-162.73789444400,55.22236111110,-162.71991666700,55.19645555560
CXF,50114.35*A,COLDFOOT,50,10546711,-150.21139944400,67.24755222220,-150.19635694400,67.25680583330
CDV,50124.*A,MERLE K (MUDHOLE) SMITH,50,10554611,-145.49674611100,60.49670991670,-145.45882213900,60.48829038890
CDV,50124.*A,MERLE K (MUDHOLE) SMITH,50,10554611,-145.47658655600,60.49147313890,-145.47671011100,60.48627952780
01AA,50132.11*A,DONLIN CREEK,50,17134811,-158.24771666700,62.03658888890,-158.22509166700,62.02836388890
SCC,50140.7*A,DEADHORSE,50,10567411,-148.49045825000,70.19245775000,-148.43987147200,70.19705044440
AK15,50140.72*A,ALPINE AIRSTRIP,50,11624811,-150.96089436100,70.34012566670,-150.92859697200,70.34841813890
37AA,50140.76*A,POINT THOMSON AIRSTRIP,50,16092711,-146.30898550000,70.13374797220,-146.27106547200,70.13825661110
4AK1,50140.8*A,INIGOK,50,11159811,-153.09132222200,69.99888083330,-153.06381416700,70.00878055560
DEE,50145.1*A,DEERING,50,10566111,-162.77406975000,66.06520830560,-162.76033308300,66.07236561110
DEE,50145.1*A,DEERING,50,10566111,-162.77406452800,66.07169972220,-162.75966797200,66.06737797220
BIG,50146.*A,ALLEN AAF,50,10555711,-145.73516988900,63.98637186110,-145.70735286100,64.00773450000
BIG,50146.*A,ALLEN AAF,50,10555711,-145.73034583300,63.99147305560,-145.70497666700,63.99106583330
BIG,50146.*A,ALLEN AAF,50,10555711,-145.73545702800,63.99971347220,-145.70410327800,63.99022352780
DLG,50153.*A,DILLINGHAM,50,10595411,-158.51309216700,59.03683772220,-158.49793130600,59.05251016670
EAA,50175.*A,EAGLE,50,10555411,-141.16112958300,64.77830469440,-141.13808372200,64.77788141670
EEK,50177.*A,EEK,50,10602111,-162.04249277800,60.21807661110,-162.04531113900,60.20931863890
KEK,50182.*A,EKWOK,50,10595211,-157.47665833300,59.35331388890,-157.46561666700,59.36036388890
ELI,50197.*A,ELIM,50,10576011,-162.27581761100,64.61091597220,-162.26526030600,64.61903358330
ENM,50198.61*A,EMMONAK,50,10550711,-164.49153491700,62.79242800000,-164.48996530600,62.77986752780
FBK,50216.*A,LADD AAF,50,10593511,-147.64201944400,64.83741666670,-147.58695833300,64.83781388890
FBK,50216.*A,LADD AAF,50,10593511,-147.64165000000,64.83550000000,-147.59488333300,64.83585000000
EIL,50217.*A,EIELSON AFB,50,10593711,-147.11791944400,64.68420833330,-147.08495833300,64.64708055560
