source_group,run_group,nata_cat,nei_cat,scc
OR-Refueling,LDON4,Onroad,Onroad,2201110162
OR-LightDuty-OffNetwork-Gas,LDOFF12,Onroad,Onroad,2201110172
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201110240
OR-Refueling,LDON4,Onroad,Onroad,2201110262
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201110272
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201110340
OR-Refueling,LDON4,Onroad,Onroad,2201110362
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201110372
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201110440
OR-Refueling,LDON4,Onroad,Onroad,2201110462
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201110472
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201110540
OR-Refueling,LDON4,Onroad,Onroad,2201110562
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201110572
OR-Refueling,LDON4,Onroad,Onroad,2201210162
OR-LightDuty-OffNetwork-Gas,LDOFF12,Onroad,Onroad,2201210172
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201210240
OR-Refueling,LDON4,Onroad,Onroad,2201210262
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201210272
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201210340
OR-Refueling,LDON4,Onroad,Onroad,2201210362
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201210372
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201210440
OR-Refueling,LDON4,Onroad,Onroad,2201210462
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201210472
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201210540
OR-Refueling,LDON4,Onroad,Onroad,2201210562
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201210572
OR-Refueling,LDON4,Onroad,Onroad,2201310162
OR-LightDuty-OffNetwork-Gas,LDOFF12,Onroad,Onroad,2201310172
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201310240
OR-Refueling,LDON4,Onroad,Onroad,2201310262
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201310272
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201310340
OR-Refueling,LDON4,Onroad,Onroad,2201310362
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201310372
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201310440
OR-Refueling,LDON4,Onroad,Onroad,2201310462
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201310472
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201310540
OR-Refueling,LDON4,Onroad,Onroad,2201310562
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201310572
OR-Refueling,LDON4,Onroad,Onroad,2201320162
OR-LightDuty-OffNetwork-Gas,LDOFF12,Onroad,Onroad,2201320172
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201320240
OR-Refueling,LDON4,Onroad,Onroad,2201320262
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201320272
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201320340
OR-Refueling,LDON4,Onroad,Onroad,2201320362
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201320372
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201320440
OR-Refueling,LDON4,Onroad,Onroad,2201320462
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201320472
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201320540
OR-Refueling,LDON4,Onroad,Onroad,2201320562
OR-LightDuty-OnNetwork-Gas,LDON4,Onroad,Onroad,2201320572
OR-Refueling,LDON4,Onroad,Onroad,2201420162
OR-HeavyDuty-OffNetwork-Gas,HDOFF12,Onroad,Onroad,2201420172
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201420240
OR-Refueling,LDON4,Onroad,Onroad,2201420262
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201420272
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201420340
OR-Refueling,LDON4,Onroad,Onroad,2201420362
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201420372
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201420440
OR-Refueling,LDON4,Onroad,Onroad,2201420462
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201420472
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201420540
OR-Refueling,LDON4,Onroad,Onroad,2201420562
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201420572
OR-Refueling,LDON4,Onroad,Onroad,2201430162
OR-HeavyDuty-OffNetwork-Gas,HDOFF12,Onroad,Onroad,2201430172
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201430240
OR-Refueling,LDON4,Onroad,Onroad,2201430262
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201430272
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201430340
OR-Refueling,LDON4,Onroad,Onroad,2201430362
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201430372
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201430440
OR-Refueling,LDON4,Onroad,Onroad,2201430462
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201430472
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201430540
OR-Refueling,LDON4,Onroad,Onroad,2201430562
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201430572
OR-Refueling,LDON4,Onroad,Onroad,2201510162
OR-HeavyDuty-OffNetwork-Gas,HDOFF12,Onroad,Onroad,2201510172
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201510240
OR-Refueling,LDON4,Onroad,Onroad,2201510262
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201510272
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201510340
OR-Refueling,LDON4,Onroad,Onroad,2201510362
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201510372
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201510440
OR-Refueling,LDON4,Onroad,Onroad,2201510462
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201510472
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201510540
OR-Refueling,LDON4,Onroad,Onroad,2201510562
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201510572
OR-Refueling,LDON4,Onroad,Onroad,2201520162
OR-HeavyDuty-OffNetwork-Gas,HDOFF12,Onroad,Onroad,2201520172
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201520240
OR-Refueling,LDON4,Onroad,Onroad,2201520262
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201520272
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201520340
OR-Refueling,LDON4,Onroad,Onroad,2201520362
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201520372
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201520440
OR-Refueling,LDON4,Onroad,Onroad,2201520462
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201520472
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201520540
OR-Refueling,LDON4,Onroad,Onroad,2201520562
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201520572
OR-Refueling,LDON4,Onroad,Onroad,2201530162
OR-HeavyDuty-OffNetwork-Gas,HDOFF12,Onroad,Onroad,2201530172
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201530240
OR-Refueling,LDON4,Onroad,Onroad,2201530262
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201530272
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201530340
OR-Refueling,LDON4,Onroad,Onroad,2201530362
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201530372
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201530440
OR-Refueling,LDON4,Onroad,Onroad,2201530462
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201530472
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201530540
OR-Refueling,LDON4,Onroad,Onroad,2201530562
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201530572
OR-Refueling,LDON4,Onroad,Onroad,2201540162
OR-HeavyDuty-OffNetwork-Gas,HDOFF12,Onroad,Onroad,2201540172
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201540240
OR-Refueling,LDON4,Onroad,Onroad,2201540262
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201540272
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201540340
OR-Refueling,LDON4,Onroad,Onroad,2201540362
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201540372
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201540440
OR-Refueling,LDON4,Onroad,Onroad,2201540462
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201540472
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201540540
OR-Refueling,LDON4,Onroad,Onroad,2201540562
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201540572
OR-Refueling,LDON4,Onroad,Onroad,2201610162
OR-HeavyDuty-OffNetwork-Gas,HDOFF12,Onroad,Onroad,2201610172
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201610240
OR-Refueling,LDON4,Onroad,Onroad,2201610262
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201610272
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201610340
OR-Refueling,LDON4,Onroad,Onroad,2201610362
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201610372
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201610440
OR-Refueling,LDON4,Onroad,Onroad,2201610462
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201610472
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201610540
OR-Refueling,LDON4,Onroad,Onroad,2201610562
OR-HeavyDuty-OnNetwork-Gas,HDON4,Onroad,Onroad,2201610572
OR-Refueling,LDON4,Onroad,Onroad,2202210162
OR-LightDuty-OffNetwork-Diesel,LDOFF12,Onroad,Onroad,2202210172
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202210240
OR-Refueling,LDON4,Onroad,Onroad,2202210262
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202210272
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202210340
OR-Refueling,LDON4,Onroad,Onroad,2202210362
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202210372
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202210440
OR-Refueling,LDON4,Onroad,Onroad,2202210462
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202210472
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202210540
OR-Refueling,LDON4,Onroad,Onroad,2202210562
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202210572
OR-Refueling,LDON4,Onroad,Onroad,2202310162
OR-LightDuty-OffNetwork-Diesel,LDOFF12,Onroad,Onroad,2202310172
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202310240
OR-Refueling,LDON4,Onroad,Onroad,2202310262
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202310272
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202310340
OR-Refueling,LDON4,Onroad,Onroad,2202310362
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202310372
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202310440
OR-Refueling,LDON4,Onroad,Onroad,2202310462
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202310472
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202310540
OR-Refueling,LDON4,Onroad,Onroad,2202310562
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202310572
OR-Refueling,LDON4,Onroad,Onroad,2202320162
OR-LightDuty-OffNetwork-Diesel,LDOFF12,Onroad,Onroad,2202320172
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202320240
OR-Refueling,LDON4,Onroad,Onroad,2202320262
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202320272
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202320340
OR-Refueling,LDON4,Onroad,Onroad,2202320362
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202320372
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202320440
OR-Refueling,LDON4,Onroad,Onroad,2202320462
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202320472
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202320540
OR-Refueling,LDON4,Onroad,Onroad,2202320562
OR-LightDuty-OnNetwork-Diesel,LDON4,Onroad,Onroad,2202320572
OR-Refueling,LDON4,Onroad,Onroad,2202410162
OR-HeavyDuty-OffNetwork-Diesel,HDOFF12,Onroad,Onroad,2202410172
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202410240
OR-Refueling,LDON4,Onroad,Onroad,2202410262
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202410272
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202410340
OR-Refueling,LDON4,Onroad,Onroad,2202410362
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202410372
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202410440
OR-Refueling,LDON4,Onroad,Onroad,2202410462
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202410472
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202410540
OR-Refueling,LDON4,Onroad,Onroad,2202410562
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202410572
OR-Refueling,LDON4,Onroad,Onroad,2202420162
OR-HeavyDuty-OffNetwork-Diesel,HDOFF12,Onroad,Onroad,2202420172
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202420240
OR-Refueling,LDON4,Onroad,Onroad,2202420262
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202420272
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202420340
OR-Refueling,LDON4,Onroad,Onroad,2202420362
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202420372
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202420440
OR-Refueling,LDON4,Onroad,Onroad,2202420462
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202420472
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202420540
OR-Refueling,LDON4,Onroad,Onroad,2202420562
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202420572
OR-Refueling,LDON4,Onroad,Onroad,2202430162
OR-HeavyDuty-OffNetwork-Diesel,HDOFF12,Onroad,Onroad,2202430172
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202430240
OR-Refueling,LDON4,Onroad,Onroad,2202430262
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202430272
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202430340
OR-Refueling,LDON4,Onroad,Onroad,2202430362
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202430372
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202430440
OR-Refueling,LDON4,Onroad,Onroad,2202430462
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202430472
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202430540
OR-Refueling,LDON4,Onroad,Onroad,2202430562
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202430572
OR-Refueling,LDON4,Onroad,Onroad,2202510162
OR-HeavyDuty-OffNetwork-Diesel,HDOFF12,Onroad,Onroad,2202510172
OR-HeavyDuty-OnNetwork-Diesel,HDON4,Onroad,Onroad,2202510240
