# Based on the 2017NEI port shapefile Ports_v2_040718. Shape areas assigned using the native AEA projection to get geometry area in square meters.
# Geometry vertices are extracted on the WGS84 datum.
facid,lon,lat,numvert,area
P20000F53033,-122.38379199999999,47.626287,16,255817.7178
P20000F53033,-122.38208200000001,47.626271,16,255817.7178
P20000F53033,-122.381896,47.631801,16,255817.7178
P20000F53033,-122.380922,47.6318,16,255817.7178
P20000F53033,-122.380871,47.626284000000005,16,255817.7178
P20000F53033,-122.37935300000001,47.626263,16,255817.7178
P20000F53033,-122.37921599999999,47.632312,16,255817.7178
P20000F53033,-122.37964299999999,47.632913,16,255817.7178
P20000F53033,-122.379241,47.63299,16,255817.7178
P20000F53033,-122.378496,47.632542,16,255817.7178
P20000F53033,-122.37818600000001,47.631359,16,255817.7178
P20000F53033,-122.378042,47.625644,16,255817.7178
P20000F53033,-122.38586000000001,47.625613,16,255817.7178
P20000F53033,-122.385425,47.633209,16,255817.7178
P20000F53033,-122.38391999999999,47.633216,16,255817.7178
P20000F53033,-122.38379199999999,47.626287,16,255817.7178
P20001F53033,-122.37552099999999,47.626461,8,65188.857
P20001F53033,-122.37399099999999,47.626135999999995,8,65188.857
P20001F53033,-122.368954,47.624208,8,65188.857
P20001F53033,-122.36421299999999,47.620445000000004,8,65188.857
P20001F53033,-122.365408,47.620445000000004,8,65188.857
P20001F53033,-122.36962,47.623864000000005,8,65188.857
P20001F53033,-122.375519,47.626065999999994,8,65188.857
P20001F53033,-122.37552099999999,47.626461,8,65188.857
P20002F53033,-122.345161,47.609155,5,104805.132
P20002F53033,-122.34701499999998,47.609161,5,104805.132
P20002F53033,-122.35781499999999,47.615093,5,104805.132
P20002F53033,-122.35581,47.615272,5,104805.132
P20002F53033,-122.345161,47.609155,5,104805.132
P20003F53033,-122.34018799999998,47.598905,17,1310458.573
P20003F53033,-122.343007,47.591304,17,1310458.573
P20003F53033,-122.34291499999999,47.573828999999996,17,1310458.573
P20003F53033,-122.347711,47.56354,17,1310458.573
P20003F53033,-122.350375,47.568339,17,1310458.573
P20003F53033,-122.358295,47.573858,17,1310458.573
P20003F53033,-122.361144,47.574148,17,1310458.573
P20003F53033,-122.362277,47.584236,17,1310458.573
P20003F53033,-122.35843100000001,47.588607,17,1310458.573
P20003F53033,-122.35834399999999,47.575545,17,1310458.573
P20003F53033,-122.34881399999999,47.569438,17,1310458.573
P20003F53033,-122.34687199999999,47.56937,17,1310458.573
P20003F53033,-122.345472,47.573608,17,1310458.573
P20003F53033,-122.34596499999999,47.573882,17,1310458.573
P20003F53033,-122.34606399999998,47.590575,17,1310458.573
P20003F53033,-122.342095,47.599158,17,1310458.573
P20003F53033,-122.34018799999998,47.598905,17,1310458.573
P20004F06037,-118.20500200000001,33.744217,21,844566.1702
P20004F06037,-118.203673,33.743789,21,844566.1702
P20004F06037,-118.199005,33.743833,21,844566.1702
P20004F06037,-118.198796,33.748103,21,844566.1702
P20004F06037,-118.19748200000001,33.748264,21,844566.1702
P20004F06037,-118.197391,33.744837,21,844566.1702
P20004F06037,-118.19672800000001,33.74389,21,844566.1702
P20004F06037,-118.19256599999999,33.743875,21,844566.1702
P20004F06037,-118.192421,33.743019,21,844566.1702
P20004F06037,-118.1953,33.74073,21,844566.1702
P20004F06037,-118.202352,33.740665,21,844566.1702
P20004F06037,-118.202747,33.739948,21,844566.1702
P20004F06037,-118.20474899999999,33.738815,21,844566.1702
P20004F06037,-118.20671000000002,33.740228,21,844566.1702
P20004F06037,-118.20657,33.741386999999996,21,844566.1702
P20004F06037,-118.206845,33.742888,21,844566.1702
P20004F06037,-118.21283000000001,33.746953999999995,21,844566.1702
P20004F06037,-118.21310700000001,33.747637,21,844566.1702
P20004F06037,-118.207278,33.750607,21,844566.1702
P20004F06037,-118.206276,33.744856,21,844566.1702
P20004F06037,-118.20500200000001,33.744217,21,844566.1702
P20005F06037,-118.20968400000001,33.776129,71,2026808.839
P20005F06037,-118.211343,33.775187,71,2026808.839
P20005F06037,-118.218378,33.772692,71,2026808.839
P20005F06037,-118.220629,33.770969,71,2026808.839
P20005F06037,-118.220883,33.770268,71,2026808.839
P20005F06037,-118.220657,33.769379,71,2026808.839
P20005F06037,-118.219544,33.769192,71,2026808.839
P20005F06037,-118.21690600000001,33.770081,71,2026808.839
P20005F06037,-118.21207199999999,33.771710999999996,71,2026808.839
P20005F06037,-118.21107099999999,33.772192,71,2026808.839
P20005F06037,-118.209621,33.77282,71,2026808.839
P20005F06037,-118.208992,33.772960999999995,71,2026808.839
P20005F06037,-118.20843500000001,33.772273999999996,71,2026808.839
P20005F06037,-118.210876,33.771252000000004,71,2026808.839
P20005F06037,-118.20903899999999,33.770627000000005,71,2026808.839
P20005F06037,-118.209419,33.770257,71,2026808.839
P20005F06037,-118.211525,33.771015000000006,71,2026808.839
P20005F06037,-118.212639,33.770477,71,2026808.839
P20005F06037,-118.211005,33.769674,71,2026808.839
P20005F06037,-118.21156699999999,33.769292,71,2026808.839
P20005F06037,-118.21375800000001,33.769962,71,2026808.839
P20005F06037,-118.218112,33.768295,71,2026808.839
P20005F06037,-118.21687299999999,33.767715,71,2026808.839
P20005F06037,-118.217316,33.76737,71,2026808.839
P20005F06037,-118.21914699999999,33.767715,71,2026808.839
P20005F06037,-118.220179,33.767075,71,2026808.839
P20005F06037,-118.22039,33.765158,71,2026808.839
P20005F06037,-118.220299,33.764618,71,2026808.839
P20005F06037,-118.219757,33.763535,71,2026808.839
P20005F06037,-118.219254,33.762547,71,2026808.839
P20005F06037,-118.216568,33.757252,71,2026808.839
P20005F06037,-118.215852,33.757738,71,2026808.839
P20005F06037,-118.21573500000001,33.761687,71,2026808.839
P20005F06037,-118.21500400000001,33.762718,71,2026808.839
P20005F06037,-118.213798,33.763020000000004,71,2026808.839
P20005F06037,-118.213798,33.760939,71,2026808.839
P20005F06037,-118.21394599999999,33.754921,71,2026808.839
P20005F06037,-118.213477,33.754975,71,2026808.839
P20005F06037,-118.21250500000001,33.755435999999996,71,2026808.839
P20005F06037,-118.21210500000001,33.756415999999994,71,2026808.839
P20005F06037,-118.208698,33.756611,71,2026808.839
P20005F06037,-118.208345,33.755866999999995,71,2026808.839
P20005F06037,-118.214802,33.752526,71,2026808.839
P20005F06037,-118.21548200000001,33.7475,71,2026808.839
P20005F06037,-118.22426499999999,33.752033000000004,71,2026808.839
P20005F06037,-118.22578700000001,33.75489,71,2026808.839
P20005F06037,-118.244009,33.749363,71,2026808.839
P20005F06037,-118.24458,33.750867,71,2026808.839
P20005F06037,-118.224883,33.756801,71,2026808.839
P20005F06037,-118.22298899999998,33.75248,71,2026808.839
P20005F06037,-118.218473,33.753719,71,2026808.839
P20005F06037,-118.218552,33.755204,71,2026808.839
P20005F06037,-118.219944,33.758238,71,2026808.839
P20005F06037,-118.219803,33.759418,71,2026808.839
P20005F06037,-118.220001,33.761318,71,2026808.839
P20005F06037,-118.221429,33.764072,71,2026808.839
P20005F06037,-118.22530400000001,33.76862,71,2026808.839
P20005F06037,-118.227398,33.76777,71,2026808.839
P20005F06037,-118.22886499999998,33.76898,71,2026808.839
P20005F06037,-118.2379,33.766923999999996,71,2026808.839
P20005F06037,-118.238553,33.767573999999996,71,2026808.839
P20005F06037,-118.23530600000001,33.768318,71,2026808.839
P20005F06037,-118.227144,33.769977000000004,71,2026808.839
P20005F06037,-118.225209,33.77063,71,2026808.839
P20005F06037,-118.21921599999999,33.773742999999996,71,2026808.839
P20005F06037,-118.216843,33.774913,71,2026808.839
P20005F06037,-118.216751,33.774349,71,2026808.839
P20005F06037,-118.212542,33.77602,71,2026808.839
P20005F06037,-118.21000500000001,33.777148,71,2026808.839
P20005F06037,-118.20961100000001,33.776586,71,2026808.839
P20005F06037,-118.20968400000001,33.776129,71,2026808.839
P20006F06037,-118.27440700000001,33.757217,9,480802.3887
P20006F06037,-118.273074,33.750398,9,480802.3887
P20006F06037,-118.27696100000001,33.756338,9,480802.3887
P20006F06037,-118.27798,33.757312,9,480802.3887
P20006F06037,-118.27833799999999,33.757838,9,480802.3887
P20006F06037,-118.275622,33.760737,9,480802.3887
P20006F06037,-118.27640500000001,33.766319,9,480802.3887
P20006F06037,-118.27080500000001,33.766918,9,480802.3887
P20006F06037,-118.27440700000001,33.757217,9,480802.3887
P20007F06037,-118.251979,33.761302,10,146349.7986
P20007F06037,-118.25760600000001,33.759319,10,146349.7986
P20007F06037,-118.257876,33.759541999999996,10,146349.7986
P20007F06037,-118.26135900000001,33.755792,10,146349.7986
P20007F06037,-118.261973,33.756163,10,146349.7986
P20007F06037,-118.25961399999998,33.759015000000005,10,146349.7986
P20007F06037,-118.258641,33.760171,10,146349.7986
P20007F06037,-118.248834,33.763311,10,146349.7986
P20007F06037,-118.24846699999999,33.762634000000006,10,146349.7986
P20007F06037,-118.251979,33.761302,10,146349.7986
P20008F12011,-80.114802,26.090204,32,711301.2501
P20008F12011,-80.113556,26.086021,32,711301.2501
P20008F12011,-80.113916,26.083308,32,711301.2501
P20008F12011,-80.114591,26.078567,32,711301.2501
P20008F12011,-80.115236,26.078585999999998,32,711301.2501
P20008F12011,-80.115128,26.080970999999998,32,711301.2501
P20008F12011,-80.116252,26.081145000000003,32,711301.2501
P20008F12011,-80.116268,26.082451000000002,32,711301.2501
P20008F12011,-80.11491600000001,26.082486,32,711301.2501
P20008F12011,-80.115527,26.089828,32,711301.2501
P20008F12011,-80.115996,26.089626000000003,32,711301.2501
P20008F12011,-80.116016,26.086095999999998,32,711301.2501
P20008F12011,-80.119917,26.086103,32,711301.2501
P20008F12011,-80.119857,26.089194,32,711301.2501
P20008F12011,-80.120005,26.090416,32,711301.2501
P20008F12011,-80.120014,26.090494,32,711301.2501
P20008F12011,-80.12009300000001,26.090492,32,711301.2501
P20008F12011,-80.12384399999999,26.090452,32,711301.2501
P20008F12011,-80.12389300000001,26.0912,32,711301.2501
P20008F12011,-80.120137,26.091357000000002,32,711301.2501
P20008F12011,-80.120149,26.092707,32,711301.2501
P20008F12011,-80.123837,26.092697,32,711301.2501
P20008F12011,-80.123827,26.093528,32,711301.2501
P20008F12011,-80.120012,26.093612,32,711301.2501
P20008F12011,-80.120049,26.094719,32,711301.2501
P20008F12011,-80.12305500000001,26.094659,32,711301.2501
P20008F12011,-80.123008,26.095277,32,711301.2501
P20008F12011,-80.120452,26.095414,32,711301.2501
P20008F12011,-80.120233,26.09988,32,711301.2501
P20008F12011,-80.119341,26.099701,32,711301.2501
P20008F12011,-80.117568,26.093757,32,711301.2501
P20008F12011,-80.114802,26.090204,32,711301.2501
P20009F25025,-71.009299,42.341256,30,494590.5569
P20009F25025,-71.01011899999999,42.339296999999995,30,494590.5569
P20009F25025,-71.011841,42.340167,30,494590.5569
P20009F25025,-71.01420300000001,42.342024,30,494590.5569
P20009F25025,-71.014297,42.342098,30,494590.5569
P20009F25025,-71.014426,42.342096000000005,30,494590.5569
P20009F25025,-71.020096,42.341995000000004,30,494590.5569
P20009F25025,-71.026291,42.341599,30,494590.5569
P20009F25025,-71.027794,42.341698,30,494590.5569
P20009F25025,-71.029583,42.341561999999996,30,494590.5569
P20009F25025,-71.029512,42.340371999999995,30,494590.5569
P20009F25025,-71.030192,42.340328,30,494590.5569
P20009F25025,-71.030259,42.341728,30,494590.5569
P20009F25025,-71.033733,42.341607,30,494590.5569
P20009F25025,-71.03384799999999,42.340410999999996,30,494590.5569
P20009F25025,-71.035051,42.340447999999995,30,494590.5569
P20009F25025,-71.035205,42.34167,30,494590.5569
P20009F25025,-71.035896,42.341599,30,494590.5569
P20009F25025,-71.038696,42.341698,30,494590.5569
P20009F25025,-71.04096899999999,42.339137,30,494590.5569
P20009F25025,-71.04158000000001,42.339419,30,494590.5569
P20009F25025,-71.040398,42.341297,30,494590.5569
P20009F25025,-71.038593,42.343396999999996,30,494590.5569
P20009F25025,-71.03739200000001,42.343196999999996,30,494590.5569
P20009F25025,-71.036923,42.343203,30,494590.5569
P20009F25025,-71.03433199999999,42.343239000000004,30,494590.5569
P20009F25025,-71.022095,42.343395,30,494590.5569
P20009F25025,-71.018403,42.343383,30,494590.5569
P20009F25025,-71.01334200000001,42.343365000000006,30,494590.5569
P20009F25025,-71.009299,42.341256,30,494590.5569
P20010F34017,-74.061249,40.66823,42,5985436.375
P20010F34017,-74.06854799999999,40.658413,42,5985436.375
P20010F34017,-74.085376,40.650263,42,5985436.375
P20010F34017,-74.090926,40.651176,42,5985436.375
P20010F34017,-74.091396,40.651253000000004,42,5985436.375
P20010F34017,-74.09049300000001,40.6518,42,5985436.375
P20010F34017,-74.09049,40.651802,42,5985436.375
P20010F34017,-74.089425,40.652440000000006,42,5985436.375
P20010F34017,-74.089019,40.652671999999995,42,5985436.375
P20010F34017,-74.087568,40.653528,42,5985436.375
P20010F34017,-74.089978,40.659883,42,5985436.375
P20010F34017,-74.09136099999999,40.662512,42,5985436.375
P20010F34017,-74.089526,40.664941999999996,42,5985436.375
P20010F34017,-74.0954,40.665043,42,5985436.375
P20010F34017,-74.097363,40.665236,42,5985436.375
P20010F34017,-74.10137900000001,40.668456,42,5985436.375
P20010F34017,-74.107342,40.669059999999995,42,5985436.375
P20010F34017,-74.106987,40.669903000000005,42,5985436.375
P20010F34017,-74.106371,40.670331,42,5985436.375
P20010F34017,-74.100043,40.669522,42,5985436.375
P20010F34017,-74.08918800000001,40.667503,42,5985436.375
P20010F34017,-74.086552,40.666484000000004,42,5985436.375
P20010F34017,-74.070629,40.660940999999994,42,5985436.375
P20010F34017,-74.068627,40.663793,42,5985436.375
P20010F34017,-74.096024,40.674403000000005,42,5985436.375
P20010F34017,-74.088091,40.675763,42,5985436.375
P20010F34017,-74.085319,40.673308,42,5985436.375
P20010F34017,-74.066621,40.66597,42,5985436.375
P20010F34017,-74.065026,40.668782,42,5985436.375
P20010F34017,-74.081745,40.676390000000005,42,5985436.375
P20010F34017,-74.08095300000001,40.677094,42,5985436.375
P20010F34017,-74.077389,40.675343,42,5985436.375
P20010F34017,-74.072039,40.682697999999995,42,5985436.375
P20010F34017,-74.08051400000001,40.688206,42,5985436.375
P20010F34017,-74.076462,40.688787,42,5985436.375
P20010F34017,-74.070082,40.684337,42,5985436.375
P20010F34017,-74.070139,40.690486,42,5985436.375
P20010F34017,-74.06571600000001,40.698085999999996,42,5985436.375
P20010F34017,-74.05619200000001,40.692776,42,5985436.375
P20010F34017,-74.067278,40.680295,42,5985436.375
P20010F34017,-74.066252,40.67289,42,5985436.375
P20010F34017,-74.061249,40.66823,42,5985436.375
P20011F36047,-73.99724599999999,40.667747,36,1739042.561
P20011F36047,-73.998474,40.667027000000004,36,1739042.561
P20011F36047,-73.998947,40.666748,36,1739042.561
P20011F36047,-73.999882,40.667249,36,1739042.561
P20011F36047,-74.000443,40.667549,36,1739042.561
P20011F36047,-74.002945,40.666346999999995,36,1739042.561
P20011F36047,-73.999619,40.664232,36,1739042.561
P20011F36047,-74.00014499999999,40.663349,36,1739042.561
P20011F36047,-74.000946,40.662949,36,1739042.561
P20011F36047,-74.005395,40.665516,36,1739042.561
P20011F36047,-74.005447,40.665546,36,1739042.561
P20011F36047,-74.00543499999999,40.665502000000004,36,1739042.561
P20011F36047,-74.004952,40.663818,36,1739042.561
P20011F36047,-74.00264,40.662613,36,1739042.561
P20011F36047,-74.004387,40.660645,36,1739042.561
P20011F36047,-74.00529499999999,40.662024,36,1739042.561
P20011F36047,-74.01407900000001,40.657587,36,1739042.561
P20011F36047,-74.020967,40.651107,36,1739042.561
P20011F36047,-74.02831,40.644025,36,1739042.561
P20011F36047,-74.032066,40.646479,36,1739042.561
P20011F36047,-74.024446,40.653226000000004,36,1739042.561
P20011F36047,-74.01833,40.658967,36,1739042.561
P20011F36047,-74.013638,40.662847,36,1739042.561
P20011F36047,-74.016515,40.664768,36,1739042.561
P20011F36047,-74.011581,40.665031,36,1739042.561
P20011F36047,-74.009773,40.668502000000004,36,1739042.561
P20011F36047,-74.005501,40.670803,36,1739042.561
