loc_id,siteno,airport_name,width,facility_id,start_x,start_y,end_x,end_y
"ADK","50009.*A","ADAK",50,"10606011",-176.657494444000008,51.8783388889000037,-176.627461110999974,51.8888249999999971
"ADK","50009.*A","ADAK",50,"10606011",-176.647861110999997,51.8827027777999987,-176.651027777999985,51.8619611110999941
"AKK","50016.1*A","AKHIOK",50,"10585411",-154.189913332999993,56.9365766666999988,-154.176084166999999,56.9405505556000051
"AKI","50020.*A","AKIAK",50,"10603111",-161.237160749999987,60.8999118889000002,-161.224026667000004,60.9058723889000007
"7AK","50022.1*A","AKUTAN",50,"17150811",-165.614480556000018,54.1455444443999951,-165.593733332999989,54.1436777778000007
"6A8","50029.1*A","ALLAKAKET",50,"10547611",-152.635344056000008,66.5503028055999977,-152.608992389000008,66.5533618611000009
"AFM","50029.61*A","AMBLER",50,"10566711",-157.868019443999998,67.1093388888999982,-157.852447221999995,67.1068361110999945
"AFM","50029.61*A","AMBLER",50,"10566711",-157.851247222000012,67.108686111099999,-157.859280556000016,67.1011055556000002
"AKP","50032.*A","ANAKTUVUK PASS",50,"10571911",-151.754251832999984,68.1284566944000005,-151.732422778,68.1387412777999941
"ANC","50034.*A","TED STEVENS ANCHORAGE INTL",50,"10604711",-150.008333277999981,61.1697649721999994,-149.948300721999999,61.1698111667000006
"ANC","50034.*A","TED STEVENS ANCHORAGE INTL",50,"10604711",-150.042871305999995,61.1678115556000037,-149.972648611000011,61.1678811666999991
"ANC","50034.*A","TED STEVENS ANCHORAGE INTL",50,"10604711",-150.014676888999986,61.1999913610999968,-149.997559417000019,61.1694038333000023
"MRI","50035.*A","MERRILL FIELD",50,"10603611",-149.84514055599999,61.209671944399993,-149.834765556000008,61.2118847222000042
"MRI","50035.*A","MERRILL FIELD",50,"10603611",-149.853305556000009,61.2159027777999967,-149.830622222000017,61.2158999999999978
"MRI","50035.*A","MERRILL FIELD",50,"10603611",-149.852516667000003,61.2156805556000023,-149.852525000000014,61.2084611111000001
"EDF","50036.*A","ELMENDORF AFB",50,"11322711",-149.844258332999999,61.248633333299999,-149.788336111000007,61.2533805556000033
"EDF","50036.*A","ELMENDORF AFB",50,"11322711",-149.793477777999982,61.262063888900002,-149.793491667000012,61.2415666667000025
"FRN","50036.5*A","BRYANT AAF",50,"11329111",-149.651020555999992,61.271380555600004,-149.655594722000018,61.260418055600006
"ANI","50038.*A","ANIAK",50,"10603011",-159.557771110999994,61.5858458332999987,-159.528317500000014,61.5773466667000022
"ANN","50039.*A","ANNETTE ISLAND",50,"10564211",-131.572162778000006,55.0373411110999982,-131.552551443999988,55.0481868889000054
"ANN","50039.*A","ANNETTE ISLAND",50,"10564211",-131.586065582999993,55.0509105277999993,-131.568749972000006,55.0329598332999979
"ANV","50039.1*A","ANVIK",50,"10547411",-160.188744361000005,62.6527634999999989,-160.191383806000005,62.6418924722000057
"ARC","50039.8*A","ARCTIC VILLAGE",50,"10547311",-145.590983332999997,68.1102888889000013,-145.567847222000012,68.1190500000000014
"AKA","50040.5*A","ATKA",50,"10605911",-174.208775000000003,52.2265361110999962,-174.203633332999999,52.2146194443999931
"ATK","50044.5*A","ATQASUK EDWARD BURNELL SR MEMORIAL",50,"10571711",-157.453284556,70.4661806388999992,-157.418041167000013,70.4680431389000006
