# State;PEC;PM10;PM2.5;PMC;PMFINE;PNO3;POC;PSO4
Alabama;39.7079875659;100135.324543;11582.1006511;88553.2238915;10823.8589703;52.0670652623;613.716749285;52.7498786907
Alaska;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Arizona;15.7261997277;121248.011705;12806.41816;108441.593545;12187.5668028;9.49152488191;562.672494585;30.9611380259
Arkansas;11.2221610807;90255.3068875;11681.7591502;78573.5477372;11248.1713498;9.34729068492;373.975040482;39.0433081455
California;42.9904987406;190836.829174;20327.6855347;170509.143639;19098.8811764;16.8955055474;1129.63893715;39.2794168775
Colorado;12.1426869933;107483.045102;11794.4566709;95688.5884312;11251.1412446;7.58087600655;506.830313001;16.7615502902
Connecticut;2.2614521845;12528.0876569;1014.37583183;11513.711825;963.37484857;0.630874628659;44.9632555653;3.14540088295
Delaware;1.05929000149;6257.96991049;497.434167507;5760.53574299;470.532872678;0.239599585531;24.8690939555;0.733311287113
District of Columbia;0.115709970954;2254.70174149;162.426756229;2092.27498526;153.972436714;0.0649704305076;8.07382727889;0.199811835513
Florida;69.5219388548;145504.972257;14108.6148301;131396.357427;12959.1599707;96.0042501805;907.299106246;76.6295640911
Georgia;28.2662009403;181098.395119;21286.9788018;159811.416318;20338.3599817;17.8860199408;838.068220705;64.3983785005
Hawaii;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Idaho;93.3633524584;138574.692432;14126.4933808;124448.199051;12633.206292;150.80397306;1155.64971158;93.4700517535
Illinois;40.0195803502;444910.140421;58864.9514019;386045.189019;56541.7652188;41.4050502378;2139.66028759;102.101264902
Indiana;37.0536649085;345634.685128;41833.5959297;303801.089198;40026.0403777;33.4004662776;1652.97098993;84.1304309485
Iowa;33.9974835342;341542.064547;42837.5281184;298704.536429;41010.4735506;32.5038035241;1689.92634303;70.6269377249
Kansas;45.3670272326;455985.344359;55264.7884595;400720.5559;52760.996348;46.1634462651;2316.16547066;96.0961672647
Kentucky;13.8827019847;99355.4205124;12654.8127907;86700.6077217;12186.9085688;7.67164470312;408.102457051;38.2474181121
Louisiana;10.1487127763;79057.9570545;10302.2529721;68755.7040824;9936.95334689;6.9473459107;315.966074175;32.2374923527
Maine;2.3346787039;12754.1761077;1311.70283933;11442.4732684;1257.27413075;0.943495538396;46.0811267823;5.06940756296
Maryland;4.89450883778;35389.9995877;3558.99810513;31831.0014826;3382.97547358;1.74548686321;164.594949211;4.78768663503
Massachusetts;6.42075872066;49646.1319736;4580.01168284;45066.1202908;4309.85583756;4.33098651322;250.187617189;9.21648285631
Michigan;31.1388129213;208781.682408;23506.8593187;185274.823089;22400.2892067;19.7439618159;998.201582367;57.485754835
Minnesota;43.5005357231;432055.885754;49496.7809719;382559.104782;47096.0591897;46.0311959523;2224.91999702;86.2700535172
Mississippi;34.800119711;139211.066315;17447.545587;121763.520728;16546.5109013;44.1834985146;765.66486064;56.3862067825
Missouri;50.9861770201;451931.881481;48204.9376005;403726.94388;45652.490912;50.0901177819;2348.92216803;102.448225665
Montana;16.256247072;188106.16255;24528.3215935;163577.840956;23592.5996131;19.8626531523;832.538170054;67.0649101341
Nebraska;33.7848250357;320651.852267;37483.9296928;283167.922574;35692.1087099;34.7253834664;1651.280543;72.0302314302
Nevada;6.45266456125;61096.404929;7185.20509213;53911.1998369;6892.74951857;5.0875532554;257.6658956;23.2494601432
New Hampshire;1.21439342582;6157.98678031;658.254325523;5499.73245479;633.598352927;0.418115378892;20.1911666308;2.832297161
New Jersey;3.35518279072;16304.9906951;548.898453678;15756.0922414;501.532273902;0.384447273709;42.2278024879;1.39874722355
New Mexico;47.5036927418;440336.992841;45356.5073701;394980.485471;42788.8640663;53.7505988304;2359.59292151;106.796090654
New York;18.9673986012;139896.21461;13646.9550561;126249.259553;13014.5030198;9.95663398315;566.582609501;36.9453942691
North Carolina;19.8787066585;91260.9598438;11161.9464959;80099.0133479;10709.8170164;6.266419749;392.573747802;33.4106053341
North Dakota;17.9869679283;269751.567026;38263.8127447;231487.754282;36946.4934716;25.8425640856;1196.47572083;77.0140202935
Ohio;37.3050089012;236301.656932;28586.88708;207714.769852;27335.1072516;18.9328775277;1135.22916076;60.312781296
Oklahoma;41.1614312406;395610.028609;44245.1634848;351364.865125;42086.3739149;43.626268071;1971.11245501;102.88941561
Oregon;10.8053776242;76289.0691417;8738.12321555;67550.9459261;8318.1608382;7.95219883486;379.163618556;22.0411823388
Pennsylvania;21.3151534692;130379.214736;13344.3619988;117034.852737;12740.5517507;8.69420074186;536.85453397;36.9463598935
Rhode Island;0.428013029316;2501.27195572;181.593926432;2319.67802929;170.32858568;0.0949490456743;10.4413774478;0.301001229077
South Carolina;19.2724155492;82087.4342596;9160.45240695;72926.9818527;8650.42675309;19.4068602325;440.853553796;30.4928242861
South Dakota;15.0238688911;202326.480833;29215.4676132;173111.01322;28266.9235492;19.3338933073;842.095437204;72.0908645976
Tennessee;15.453893638;95745.2626085;11899.5073987;83845.7552098;11444.4427631;6.85645651108;399.859323622;32.8949618876
Texas;458.782372835;1281999.35718;143704.588935;1138294.76824;133689.026869;688.208258073;8268.08167022;600.489765263
Utah;8.37598725728;54019.9649205;5682.39268991;48337.5722306;5379.99080232;3.10440207896;282.574278565;8.34721969609
Vermont;1.45109211462;13635.0209284;1527.99444534;12107.026483;1464.28475824;1.39838511439;55.6532410699;5.20696881011
