State,Sector,Species,annu_emis
Alabama,afdust,PSO4,52.7499
Alabama,afdust,PMFINE,10823.8590
Alabama,afdust,PM10,100135.3245
Alabama,afdust,PNO3,52.0671
Alabama,afdust,PM2.5,11582.1007
Alabama,afdust,PMC,88553.2239
Alabama,afdust,POC,613.7167
Alabama,afdust,PEC,39.7080
Alaska,afdust,PSO4,0.0000
Alaska,afdust,PMFINE,0.0000
Alaska,afdust,PM10,0.0000
Alaska,afdust,PNO3,0.0000
Alaska,afdust,PM2.5,0.0000
Alaska,afdust,PMC,0.0000
Alaska,afdust,POC,0.0000
Alaska,afdust,PEC,0.0000
Arizona,afdust,PSO4,30.9611
Arizona,afdust,PMFINE,12187.5668
Arizona,afdust,PM10,121248.0117
Arizona,afdust,PNO3,9.4915
Arizona,afdust,PM2.5,12806.4182
Arizona,afdust,PMC,108441.5935
Arizona,afdust,POC,562.6725
Arizona,afdust,PEC,15.7262
Arkansas,afdust,PSO4,39.0433
Arkansas,afdust,PMFINE,11248.1713
Arkansas,afdust,PM10,90255.3069
Arkansas,afdust,PNO3,9.3473
Arkansas,afdust,PM2.5,11681.7592
Arkansas,afdust,PMC,78573.5477
Arkansas,afdust,POC,373.9750
Arkansas,afdust,PEC,11.2222
California,afdust,PSO4,39.2794
California,afdust,PMFINE,19098.8812
California,afdust,PM10,190836.8292
California,afdust,PNO3,16.8955
California,afdust,PM2.5,20327.6855
California,afdust,PMC,170509.1436
California,afdust,POC,1129.6389
California,afdust,PEC,42.9905
Colorado,afdust,PSO4,16.7616
Colorado,afdust,PMFINE,11251.1412
Colorado,afdust,PM10,107483.0451
Colorado,afdust,PNO3,7.5809
Colorado,afdust,PM2.5,11794.4567
Colorado,afdust,PMC,95688.5884
Colorado,afdust,POC,506.8303
Colorado,afdust,PEC,12.1427
Connecticut,afdust,PSO4,3.1454
Connecticut,afdust,PMFINE,963.3748
Connecticut,afdust,PM10,12528.0877
Connecticut,afdust,PNO3,0.6309
Connecticut,afdust,PM2.5,1014.3758
Connecticut,afdust,PMC,11513.7118
Connecticut,afdust,POC,44.9633
Connecticut,afdust,PEC,2.2615
Delaware,afdust,PSO4,0.7333
Delaware,afdust,PMFINE,470.5329
Delaware,afdust,PM10,6257.9699
Delaware,afdust,PNO3,0.2396
Delaware,afdust,PM2.5,497.4342
Delaware,afdust,PMC,5760.5357
Delaware,afdust,POC,24.8691
Delaware,afdust,PEC,1.0593
District of Columbia,afdust,PSO4,0.1998
District of Columbia,afdust,PMFINE,153.9724
District of Columbia,afdust,PM10,2254.7017
District of Columbia,afdust,PNO3,0.0650
District of Columbia,afdust,PM2.5,162.4268
District of Columbia,afdust,PMC,2092.2750
District of Columbia,afdust,POC,8.0738
District of Columbia,afdust,PEC,0.1157
Florida,afdust,PSO4,76.6296
Florida,afdust,PMFINE,12959.1600
Florida,afdust,PM10,145504.9723
Florida,afdust,PNO3,96.0043
Florida,afdust,PM2.5,14108.6148
Florida,afdust,PMC,131396.3574
Florida,afdust,POC,907.2991
Florida,afdust,PEC,69.5219
Georgia,afdust,PSO4,64.3984
Georgia,afdust,PMFINE,20338.3600
Georgia,afdust,PM10,181098.3951
Georgia,afdust,PNO3,17.8860
Georgia,afdust,PM2.5,21286.9788
Georgia,afdust,PMC,159811.4163
Georgia,afdust,POC,838.0682
Georgia,afdust,PEC,28.2662
Hawaii,afdust,PSO4,0.0000
Hawaii,afdust,PMFINE,0.0000
Hawaii,afdust,PM10,0.0000
Hawaii,afdust,PNO3,0.0000
Hawaii,afdust,PM2.5,0.0000
Hawaii,afdust,PMC,0.0000
Hawaii,afdust,POC,0.0000
Hawaii,afdust,PEC,0.0000
Idaho,afdust,PSO4,93.4701
Idaho,afdust,PMFINE,12633.2063
Idaho,afdust,PM10,138574.6924
Idaho,afdust,PNO3,150.8040
Idaho,afdust,PM2.5,14126.4934
Idaho,afdust,PMC,124448.1991
Idaho,afdust,POC,1155.6497
Idaho,afdust,PEC,93.3634
Illinois,afdust,PSO4,102.1013
Illinois,afdust,PMFINE,56541.7652
Illinois,afdust,PM10,444910.1404
Illinois,afdust,PNO3,41.4051
Illinois,afdust,PM2.5,58864.9514
Illinois,afdust,PMC,386045.1890
Illinois,afdust,POC,2139.6603
Illinois,afdust,PEC,40.0196
Indiana,afdust,PSO4,84.1304
Indiana,afdust,PMFINE,40026.0404
Indiana,afdust,PM10,345634.6851
Indiana,afdust,PNO3,33.4005
Indiana,afdust,PM2.5,41833.5959
Indiana,afdust,PMC,303801.0892
Indiana,afdust,POC,1652.9710
Indiana,afdust,PEC,37.0537
Iowa,afdust,PSO4,70.6269
Iowa,afdust,PMFINE,41010.4736
Iowa,afdust,PM10,341542.0645
Iowa,afdust,PNO3,32.5038
Iowa,afdust,PM2.5,42837.5281
Iowa,afdust,PMC,298704.5364
Iowa,afdust,POC,1689.9263
Iowa,afdust,PEC,33.9975
Kansas,afdust,PSO4,96.0962
Kansas,afdust,PMFINE,52760.9963
Kansas,afdust,PM10,455985.3444
Kansas,afdust,PNO3,46.1634
Kansas,afdust,PM2.5,55264.7885
Kansas,afdust,PMC,400720.5559
Kansas,afdust,POC,2316.1655
Kansas,afdust,PEC,45.3670
Kentucky,afdust,PSO4,38.2474
Kentucky,afdust,PMFINE,12186.9086
Kentucky,afdust,PM10,99355.4205
Kentucky,afdust,PNO3,7.6716
Kentucky,afdust,PM2.5,12654.8128
Kentucky,afdust,PMC,86700.6077
Kentucky,afdust,POC,408.1025
Kentucky,afdust,PEC,13.8827
Louisiana,afdust,PSO4,32.2375
Louisiana,afdust,PMFINE,9936.9533
Louisiana,afdust,PM10,79057.9571
Louisiana,afdust,PNO3,6.9473
Louisiana,afdust,PM2.5,10302.2530
Louisiana,afdust,PMC,68755.7041
Louisiana,afdust,POC,315.9661
Louisiana,afdust,PEC,10.1487
Maine,afdust,PSO4,5.0694
Maine,afdust,PMFINE,1257.2741
Maine,afdust,PM10,12754.1761
Maine,afdust,PNO3,0.9435
Maine,afdust,PM2.5,1311.7028
Maine,afdust,PMC,11442.4733
Maine,afdust,POC,46.0811
Maine,afdust,PEC,2.3347
Maryland,afdust,PSO4,4.7877
Maryland,afdust,PMFINE,3382.9755
Maryland,afdust,PM10,35389.9996
Maryland,afdust,PNO3,1.7455
Maryland,afdust,PM2.5,3558.9981
Maryland,afdust,PMC,31831.0015
Maryland,afdust,POC,164.5949
Maryland,afdust,PEC,4.8945
Massachusetts,afdust,PSO4,9.2165
Massachusetts,afdust,PMFINE,4309.8558
Massachusetts,afdust,PM10,49646.1320
Massachusetts,afdust,PNO3,4.3310
Massachusetts,afdust,PM2.5,4580.0117
Massachusetts,afdust,PMC,45066.1203
Massachusetts,afdust,POC,250.1876
Massachusetts,afdust,PEC,6.4208
Michigan,afdust,PSO4,57.4858
Michigan,afdust,PMFINE,22400.2892
Michigan,afdust,PM10,208781.6824
Michigan,afdust,PNO3,19.7440
Michigan,afdust,PM2.5,23506.8593
Michigan,afdust,PMC,185274.8231
Michigan,afdust,POC,998.2016
Michigan,afdust,PEC,31.1388
Minnesota,afdust,PSO4,86.2701
Minnesota,afdust,PMFINE,47096.0592
Minnesota,afdust,PM10,432055.8858
Minnesota,afdust,PNO3,46.0312
Minnesota,afdust,PM2.5,49496.7810
Minnesota,afdust,PMC,382559.1048
Minnesota,afdust,POC,2224.9200
Minnesota,afdust,PEC,43.5005
Mississippi,afdust,PSO4,56.3862
Mississippi,afdust,PMFINE,16546.5109
Mississippi,afdust,PM10,139211.0663
Mississippi,afdust,PNO3,44.1835
Mississippi,afdust,PM2.5,17447.5456
Mississippi,afdust,PMC,121763.5207
Mississippi,afdust,POC,765.6649
Mississippi,afdust,PEC,34.8001
Missouri,afdust,PSO4,102.4482
Missouri,afdust,PMFINE,45652.4909
Missouri,afdust,PM10,451931.8815
Missouri,afdust,PNO3,50.0901
Missouri,afdust,PM2.5,48204.9376
Missouri,afdust,PMC,403726.9439
Missouri,afdust,POC,2348.9222
Missouri,afdust,PEC,50.9862
Montana,afdust,PSO4,67.0649
Montana,afdust,PMFINE,23592.5996
Montana,afdust,PM10,188106.1625
Montana,afdust,PNO3,19.8627
Montana,afdust,PM2.5,24528.3216
Montana,afdust,PMC,163577.8410
Montana,afdust,POC,832.5382
Montana,afdust,PEC,16.2562
Nebraska,afdust,PSO4,72.0302
Nebraska,afdust,PMFINE,35692.1087
Nebraska,afdust,PM10,320651.8523
Nebraska,afdust,PNO3,34.7254
Nebraska,afdust,PM2.5,37483.9297
Nebraska,afdust,PMC,283167.9226
Nebraska,afdust,POC,1651.2805
Nebraska,afdust,PEC,33.7848
Nevada,afdust,PSO4,23.2495
Nevada,afdust,PMFINE,6892.7495
Nevada,afdust,PM10,61096.4049
Nevada,afdust,PNO3,5.0876
Nevada,afdust,PM2.5,7185.2051
Nevada,afdust,PMC,53911.1998
Nevada,afdust,POC,257.6659
Nevada,afdust,PEC,6.4527
New Hampshire,afdust,PSO4,2.8323
New Hampshire,afdust,PMFINE,633.5984
New Hampshire,afdust,PM10,6157.9868
New Hampshire,afdust,PNO3,0.4181
New Hampshire,afdust,PM2.5,658.2543
New Hampshire,afdust,PMC,5499.7325
New Hampshire,afdust,POC,20.1912
New Hampshire,afdust,PEC,1.2144
New Jersey,afdust,PSO4,1.3987
New Jersey,afdust,PMFINE,501.5323
