# State;ALD2;ALDX;CH4;CO;ETH;ETHA;ETOH;FORM;IOLE;ISOP;MEOH;NH3;NO;NO2;NOX;NVOL;OLE;PAR;PEC;PM10;PM2.5;PMC;PMFINE;PNO3;POC;PSO4;SO2;SULF;TERP;TOL;UNK;UNR;XYL
Alabama;2326.52418869;818.92003739;11136.2844386;1237420.52592;5117.84571039;1646.64419601;0.0;2074.10629552;1707.9807672;1.08954399974;0.0;5628.90049163;137457.051304;15273.0031381;152730.054442;22.2580054564;6240.06557451;62763.9754362;1731.78203674;4182.87582356;3081.66990239;1101.20592117;547.219915012;3.61087297519;777.200098216;21.8569794474;5570.90171288;0.0;33.2916497164;15226.7815807;274.383091299;11483.0625166;15517.3139775
Alaska;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Arizona;1945.51932115;714.236838241;8144.79903438;834736.275437;3740.55226032;1181.7063942;4940.85650702;1665.7272713;1143.62532913;0.472942802626;0.0;5140.16471194;142266.775297;15807.4213452;158074.196642;24.0684410787;4448.30209101;48259.1398192;1701.6743996;3974.26434994;2911.45874149;1062.80560845;492.685810391;3.5833013112;693.171293397;20.3439367935;2842.72159174;0.0;35.9996707882;12821.3789659;186.515251068;9053.62889547;10399.5840681
Arkansas;1228.35921851;392.774488599;6523.27017753;736914.722832;2995.28105805;967.746754499;2715.61006419;1171.92859579;770.107957881;0.234409367979;0.0;3007.70015311;74859.0280598;8317.66971456;83176.6977743;10.9402198813;3569.26910822;31187.131929;870.489094617;2183.54835309;1595.40066205;588.147691044;295.159482575;1.88205823509;416.15028864;11.7197379807;3070.33793372;0.0;16.3635001901;8456.80291494;147.068946462;6444.76091884;7403.37478783
California;8939.57316199;3510.62223639;36515.8659281;3563790.73993;17021.0796699;5387.71014323;0.0;7521.03015327;5772.34704649;3.76719559847;0.0;31774.271588;619773.095014;68863.6502367;688636.74525;110.421214273;20707.1118519;213561.509825;11503.7329982;27086.2662438;20616.2879263;6469.97831754;3519.53306657;24.1114940172;5426.81988789;142.09047956;4762.0257566;0.0;165.15896784;51147.7382131;921.904519673;38811.7072332;51893.9848751
Colorado;2365.99826836;961.820736211;9745.87137309;1100645.14319;4622.47123116;1454.74761394;2881.76425774;2071.70668856;1149.02025884;0.366088262438;0.0;4402.54773668;113843.782367;12649.3110686;126493.093436;33.2186147258;5494.64155765;45856.8391851;1294.89869519;3182.58918853;2328.82177152;853.76741701;422.21385164;2.75564322602;592.088743862;16.864837602;4117.59474859;0.0;49.6857726351;12237.0234716;236.084051787;9746.2608542;11228.0351206
Connecticut;932.456657286;281.103157041;5646.06930141;639906.953559;2576.88565967;843.242887415;3.54225370128;938.21688229;760.240810551;0.411151487657;0.0;3247.96421876;59627.5394774;6625.28232191;66252.8217993;5.53234294218;3133.96215224;27762.3899425;495.275104968;1594.84354371;1053.92189807;540.92164564;257.995924095;1.28112457768;289.479907406;9.88983702332;1654.91714788;0.0;8.27485267151;7092.52134698;136.850451615;5426.83887246;7303.58228013
Delaware;244.379448999;82.4994948991;1306.891621;155365.733045;601.000638899;194.774908988;0.132701134609;232.278437651;181.610671572;0.102124454571;0.0;903.274132399;19365.3926551;2151.71083869;21517.1034938;2.06254470147;730.371441029;6661.62997122;218.206687611;566.332164476;401.609068746;164.72309573;78.9538736862;0.477098970993;100.850989049;3.12041942933;552.797577561;0.0;3.08498745283;1678.37563336;32.1145231325;1285.8760317;1722.37652717
District of Columbia;111.144806363;36.0162421116;592.388969394;64962.5887712;270.437192502;87.8185238623;0.0;103.814186919;87.8561944697;0.0541686880735;0.0;395.877223609;7797.9216226;866.435896978;8664.35751958;0.847778549579;329.877752862;3216.33202512;73.519912697;216.017950639;147.931641231;68.0863094077;33.1788108269;0.178023280808;39.7703946825;1.28449974371;268.108976229;0.0;1.26804189963;790.935652133;14.4177929013;596.435738322;808.864226481
Florida;7439.79568273;2427.65263544;35591.6900566;3785259.31289;16112.7123621;5207.12496454;0.0;6431.33000994;6112.39489868;4.41384851932;0.0;18213.9043235;399655.485975;44406.1678526;444061.653827;59.6129267018;19794.1415539;223784.024955;4662.68468394;12298.9463727;8929.20480453;3369.74156815;1754.40392764;10.482033874;2432.96088824;68.6732708323;21272.9856477;0.0;89.1640742737;52219.5963691;859.64297161;38280.9561857;52910.9117946
