State,Sector,Species,annu_emis
Alabama,onroad,PAR,62763.9754
Alabama,onroad,ETOH,0.0000
Alabama,onroad,PSO4,21.8570
Alabama,onroad,PM2.5,3081.6699
Alabama,onroad,TOL,15226.7816
Alabama,onroad,ETH,5117.8457
Alabama,onroad,NO2,15273.0031
Alabama,onroad,PEC,1731.7820
Alabama,onroad,OLE,6240.0656
Alabama,onroad,NO,137457.0513
Alabama,onroad,PNO3,3.6109
Alabama,onroad,CH4,11136.2844
Alabama,onroad,PMC,1101.2059
Alabama,onroad,POC,777.2001
Alabama,onroad,TERP,33.2916
Alabama,onroad,UNR,11483.0625
Alabama,onroad,PMFINE,547.2199
Alabama,onroad,CO,1237420.5259
Alabama,onroad,FORM,2074.1063
Alabama,onroad,MEOH,0.0000
Alabama,onroad,ALD2,2326.5242
Alabama,onroad,ETHA,1646.6442
Alabama,onroad,ISOP,1.0895
Alabama,onroad,SO2,5570.9017
Alabama,onroad,NH3,5628.9005
Alabama,onroad,SULF,0.0000
Alabama,onroad,UNK,274.3831
Alabama,onroad,PM10,4182.8758
Alabama,onroad,IOLE,1707.9808
Alabama,onroad,ALDX,818.9200
Alabama,onroad,NOX,152730.0544
Alabama,onroad,NVOL,22.2580
Alabama,onroad,XYL,15517.3140
Alaska,onroad,PAR,0.0000
Alaska,onroad,ETOH,0.0000
Alaska,onroad,PSO4,0.0000
Alaska,onroad,PM2.5,0.0000
Alaska,onroad,TOL,0.0000
Alaska,onroad,ETH,0.0000
Alaska,onroad,NO2,0.0000
Alaska,onroad,PEC,0.0000
Alaska,onroad,OLE,0.0000
Alaska,onroad,NO,0.0000
Alaska,onroad,PNO3,0.0000
Alaska,onroad,CH4,0.0000
Alaska,onroad,PMC,0.0000
Alaska,onroad,POC,0.0000
Alaska,onroad,TERP,0.0000
Alaska,onroad,UNR,0.0000
Alaska,onroad,PMFINE,0.0000
Alaska,onroad,CO,0.0000
Alaska,onroad,FORM,0.0000
Alaska,onroad,MEOH,0.0000
Alaska,onroad,ALD2,0.0000
Alaska,onroad,ETHA,0.0000
Alaska,onroad,ISOP,0.0000
Alaska,onroad,SO2,0.0000
Alaska,onroad,NH3,0.0000
Alaska,onroad,SULF,0.0000
Alaska,onroad,UNK,0.0000
Alaska,onroad,PM10,0.0000
Alaska,onroad,IOLE,0.0000
Alaska,onroad,ALDX,0.0000
Alaska,onroad,NOX,0.0000
Alaska,onroad,NVOL,0.0000
Alaska,onroad,XYL,0.0000
Arizona,onroad,PAR,48259.1398
Arizona,onroad,ETOH,4940.8565
Arizona,onroad,PSO4,20.3439
Arizona,onroad,PM2.5,2911.4587
Arizona,onroad,TOL,12821.3790
Arizona,onroad,ETH,3740.5523
Arizona,onroad,NO2,15807.4213
Arizona,onroad,PEC,1701.6744
Arizona,onroad,OLE,4448.3021
Arizona,onroad,NO,142266.7753
Arizona,onroad,PNO3,3.5833
Arizona,onroad,CH4,8144.7990
Arizona,onroad,PMC,1062.8056
Arizona,onroad,POC,693.1713
Arizona,onroad,TERP,35.9997
Arizona,onroad,UNR,9053.6289
Arizona,onroad,PMFINE,492.6858
Arizona,onroad,CO,834736.2754
Arizona,onroad,FORM,1665.7273
Arizona,onroad,MEOH,0.0000
Arizona,onroad,ALD2,1945.5193
Arizona,onroad,ETHA,1181.7064
Arizona,onroad,ISOP,0.4729
Arizona,onroad,SO2,2842.7216
Arizona,onroad,NH3,5140.1647
Arizona,onroad,SULF,0.0000
Arizona,onroad,UNK,186.5153
Arizona,onroad,PM10,3974.2643
Arizona,onroad,IOLE,1143.6253
Arizona,onroad,ALDX,714.2368
Arizona,onroad,NOX,158074.1966
Arizona,onroad,NVOL,24.0684
Arizona,onroad,XYL,10399.5841
Arkansas,onroad,PAR,31187.1319
Arkansas,onroad,ETOH,2715.6101
Arkansas,onroad,PSO4,11.7197
Arkansas,onroad,PM2.5,1595.4007
Arkansas,onroad,TOL,8456.8029
Arkansas,onroad,ETH,2995.2811
Arkansas,onroad,NO2,8317.6697
Arkansas,onroad,PEC,870.4891
Arkansas,onroad,OLE,3569.2691
Arkansas,onroad,NO,74859.0281
Arkansas,onroad,PNO3,1.8821
Arkansas,onroad,CH4,6523.2702
Arkansas,onroad,PMC,588.1477
Arkansas,onroad,POC,416.1503
Arkansas,onroad,TERP,16.3635
Arkansas,onroad,UNR,6444.7609
