# State;ALD2;ALDX;CH4;CO;ETH;ETHA;ETOH;FORM;IOLE;ISOP;MEOH;NH3;NO;NO2;NOX;NVOL;OLE;PAR;PEC;PM10;PM2.5;PMC;PMFINE;PNO3;POC;PSO4;SO2;SULF;TERP;TOL;UNK;UNR;XYL
Aguascalientes;260.772111311;171.526603659;66.3131793405;9255.33119176;99.2182775509;29.2382173096;775.077035798;198.093168141;315.230475724;4.19799902776;528.052092572;24137.7312776;5161.40681581;573.489413515;5734.89622932;22.3920412375;239.283638155;17142.2633895;330.259549155;3156.67912267;1541.36630434;1615.31281833;687.410038416;3.77287807889;431.808432238;88.1154064496;5775.34523432;88.6576001587;482.276492667;2356.09291531;3.19331071612;3097.22968434;1743.64207951
Alberta;2684.78024319;3230.29180694;93925.4803199;394348.415404;2930.24162045;83385.860469;3284.24049339;47313.8779342;868.201819464;20.931613737;1612.25958895;153516.851814;297809.508125;33089.9467123;330899.454837;201.875032623;5053.7411048;396144.830247;7765.48862139;416356.213273;63843.3143162;352512.898957;44398.0083798;377.73344158;10259.282551;1042.80132244;69721.332045;23.3133539906;6439.9023169;16631.1890686;51.8713913347;140431.0858;12139.3076698
Baja Calif Norte;695.151001835;450.971392693;188.269026494;42320.1790378;466.433140484;107.274961998;2203.44990572;547.304285256;743.913270446;17.671742251;1526.85833915;8692.38424313;22102.5554426;2455.83323534;24558.3886779;67.907723342;701.893122582;44388.463045;1293.64685208;6006.754377;4486.54460094;1520.20977607;1500.18556965;11.8552824396;1376.79059178;304.066304998;18783.6116338;287.050246201;1604.1771315;6337.61077469;11.0139360188;8915.19505208;4420.01378264
Baja Calif Sur;135.657542221;94.8365941677;32.207590734;5195.88625341;56.3163196041;16.9176940756;238.62240209;126.782492942;91.9893343364;1.7134384431;191.176261512;5702.63956315;6927.53369643;769.728713989;7697.26241042;6.06302333041;137.065966909;4930.93762482;305.863963249;1097.0444066;822.177000502;274.867406097;220.403463682;1.52478281718;271.463884323;22.9209064303;1742.55397609;25.4056010847;111.010279932;601.649972586;1.17632684306;1154.97554713;440.687642212
British Columbia;3006.89222824;2466.13145105;423083.16992;683330.0982;6746.16731873;16205.0540127;2232.5490477;9117.26135209;1208.77305531;79.3233538253;1377.04529771;28973.6349916;113254.181284;12582.1686941;125836.349978;91.0461164702;4315.14435342;86876.9475323;7405.95681807;88141.0023706;53656.2254398;34484.7769308;20946.8872678;147.765546608;24446.4124451;709.203362269;72160.4475206;11.1796040918;959.325491493;10831.6038372;21.8514247863;28694.3971266;9066.77105497
Campeche;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Chiapas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Chihuahua;1839.01962056;1306.20953753;411.09867381;69405.5745419;786.879491438;247.033211859;2852.13225245;1667.69042728;1014.79152286;16.2695466724;1982.02456698;42772.6025861;32071.1715081;3563.46477025;35634.6362784;110.352912548;1107.34833585;55243.7377333;2543.78038526;17111.5745525;10675.7808522;6435.79370029;4125.6181264;19.8104186026;3526.86069016;459.711231777;27883.4003296;426.061245281;2277.53393912;8026.57661915;19.6390472651;10705.9401691;5597.87127785
Coahuila;726.50188687;416.891352128;156.161382739;27291.4525068;316.251560773;88.9311241257;1904.7358836;504.616830602;846.141564201;12.1356011376;1322.58103562;26782.4025187;17201.1028293;1911.23336431;19112.3361936;58.3712199276;548.430166251;40507.2459789;1053.4826989;4951.32906618;3391.32829445;1560.00077173;1047.20901007;8.33532708323;1134.58423794;147.717020453;9953.56552853;151.122203961;1228.57364705;5300.83293732;9.53699900329;6701.86072901;3882.92173603
Colima;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
