State,Sector,Species,annu_emis
Aguascalientes,othar,PAR,17142.2634
Aguascalientes,othar,ETOH,775.0770
Aguascalientes,othar,PSO4,88.1154
Aguascalientes,othar,PM2.5,1541.3663
Aguascalientes,othar,TOL,2356.0929
Aguascalientes,othar,ETH,99.2183
Aguascalientes,othar,NO2,573.4894
Aguascalientes,othar,PEC,330.2595
Aguascalientes,othar,OLE,239.2836
Aguascalientes,othar,ALDX,171.5266
Aguascalientes,othar,PNO3,3.7729
Aguascalientes,othar,CH4,66.3132
Aguascalientes,othar,PMC,1615.3128
Aguascalientes,othar,POC,431.8084
Aguascalientes,othar,TERP,482.2765
Aguascalientes,othar,UNR,3097.2297
Aguascalientes,othar,PMFINE,687.4100
Aguascalientes,othar,CO,9255.3312
Aguascalientes,othar,FORM,198.0932
Aguascalientes,othar,MEOH,528.0521
Aguascalientes,othar,ALD2,260.7721
Aguascalientes,othar,ETHA,29.2382
Aguascalientes,othar,ISOP,4.1980
Aguascalientes,othar,SO2,5775.3452
Aguascalientes,othar,NH3,24137.7313
Aguascalientes,othar,SULF,88.6576
Aguascalientes,othar,UNK,3.1933
Aguascalientes,othar,PM10,3156.6791
Aguascalientes,othar,IOLE,315.2305
Aguascalientes,othar,NO,5161.4068
Aguascalientes,othar,NOX,5734.8962
Aguascalientes,othar,NVOL,22.3920
Aguascalientes,othar,XYL,1743.6421
Alberta,othar,PAR,396144.8302
Alberta,othar,ETOH,3284.2405
Alberta,othar,PSO4,1042.8013
Alberta,othar,PM2.5,63843.3143
Alberta,othar,TOL,16631.1891
Alberta,othar,ETH,2930.2416
Alberta,othar,NO2,33089.9467
Alberta,othar,PEC,7765.4886
Alberta,othar,OLE,5053.7411
Alberta,othar,ALDX,3230.2918
Alberta,othar,PNO3,377.7334
Alberta,othar,CH4,93925.4803
Alberta,othar,PMC,352512.8990
Alberta,othar,POC,10259.2826
Alberta,othar,TERP,6439.9023
Alberta,othar,UNR,140431.0858
Alberta,othar,PMFINE,44398.0084
Alberta,othar,CO,394348.4154
Alberta,othar,FORM,47313.8779
Alberta,othar,MEOH,1612.2596
Alberta,othar,ALD2,2684.7802
Alberta,othar,ETHA,83385.8605
Alberta,othar,ISOP,20.9316
Alberta,othar,SO2,69721.3320
Alberta,othar,NH3,153516.8518
Alberta,othar,SULF,23.3134
Alberta,othar,UNK,51.8714
Alberta,othar,PM10,416356.2133
Alberta,othar,IOLE,868.2018
Alberta,othar,NO,297809.5081
Alberta,othar,NOX,330899.4548
Alberta,othar,NVOL,201.8750
Alberta,othar,XYL,12139.3077
Baja Calif Norte,othar,PAR,44388.4630
Baja Calif Norte,othar,ETOH,2203.4499
Baja Calif Norte,othar,PSO4,304.0663
Baja Calif Norte,othar,PM2.5,4486.5446
Baja Calif Norte,othar,TOL,6337.6108
Baja Calif Norte,othar,ETH,466.4331
Baja Calif Norte,othar,NO2,2455.8332
Baja Calif Norte,othar,PEC,1293.6469
Baja Calif Norte,othar,OLE,701.8931
Baja Calif Norte,othar,ALDX,450.9714
Baja Calif Norte,othar,PNO3,11.8553
Baja Calif Norte,othar,CH4,188.2690
Baja Calif Norte,othar,PMC,1520.2098
Baja Calif Norte,othar,POC,1376.7906
Baja Calif Norte,othar,TERP,1604.1771
Baja Calif Norte,othar,UNR,8915.1951
Baja Calif Norte,othar,PMFINE,1500.1856
Baja Calif Norte,othar,CO,42320.1790
Baja Calif Norte,othar,FORM,547.3043
Baja Calif Norte,othar,MEOH,1526.8583
Baja Calif Norte,othar,ALD2,695.1510
Baja Calif Norte,othar,ETHA,107.2750
Baja Calif Norte,othar,ISOP,17.6717
Baja Calif Norte,othar,SO2,18783.6116
Baja Calif Norte,othar,NH3,8692.3842
Baja Calif Norte,othar,SULF,287.0502
Baja Calif Norte,othar,UNK,11.0139
Baja Calif Norte,othar,PM10,6006.7544
Baja Calif Norte,othar,IOLE,743.9133
Baja Calif Norte,othar,NO,22102.5554
Baja Calif Norte,othar,NOX,24558.3887
Baja Calif Norte,othar,NVOL,67.9077
Baja Calif Norte,othar,XYL,4420.0138
Baja Calif Sur,othar,PAR,4930.9376
Baja Calif Sur,othar,ETOH,238.6224
Baja Calif Sur,othar,PSO4,22.9209
Baja Calif Sur,othar,PM2.5,822.1770
Baja Calif Sur,othar,TOL,601.6500
Baja Calif Sur,othar,ETH,56.3163
Baja Calif Sur,othar,NO2,769.7287
Baja Calif Sur,othar,PEC,305.8640
Baja Calif Sur,othar,OLE,137.0660
Baja Calif Sur,othar,ALDX,94.8366
Baja Calif Sur,othar,PNO3,1.5248
Baja Calif Sur,othar,CH4,32.2076
Baja Calif Sur,othar,PMC,274.8674
Baja Calif Sur,othar,POC,271.4639
Baja Calif Sur,othar,TERP,111.0103
Baja Calif Sur,othar,UNR,1154.9755
Baja Calif Sur,othar,PMFINE,220.4035
Baja Calif Sur,othar,CO,5195.8863
Baja Calif Sur,othar,FORM,126.7825
Baja Calif Sur,othar,MEOH,191.1763
Baja Calif Sur,othar,ALD2,135.6575
Baja Calif Sur,othar,ETHA,16.9177
Baja Calif Sur,othar,ISOP,1.7134
Baja Calif Sur,othar,SO2,1742.5540
Baja Calif Sur,othar,NH3,5702.6396
Baja Calif Sur,othar,SULF,25.4056
Baja Calif Sur,othar,UNK,1.1763
Baja Calif Sur,othar,PM10,1097.0444
Baja Calif Sur,othar,IOLE,91.9893
Baja Calif Sur,othar,NO,6927.5337
Baja Calif Sur,othar,NOX,7697.2624
Baja Calif Sur,othar,NVOL,6.0630
Baja Calif Sur,othar,XYL,440.6876
British Columbia,othar,PAR,86876.9475
British Columbia,othar,ETOH,2232.5490
British Columbia,othar,PSO4,709.2034
British Columbia,othar,PM2.5,53656.2254
British Columbia,othar,TOL,10831.6038
British Columbia,othar,ETH,6746.1673
