priority,known,count,message type,first file
2,True,60,'WARNING: Inventory base year .* is inconsistent w',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPD/logs/movesmrg_RPD_onroad_ca_adj_aug_P105_2020ha_CRACMM_20200815_12US1_cmaq_cracmmv1.log
2,True,24,'WARNING: No speciation profiles found for pollutant',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPD/logs/spcmat_RPD_onroad_ca_adj_sep_P105_2020ha_CRACMM_cmaq_cracmmv1.log
2,True,13068,'WARNING: Re-normalizing county total surrogate fractions of Co/St/Ct: .* :: Surrogate: .* greater than 1 ::   .*',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPD/logs/grdmat_RPD_onroad_ca_adj_mar_P105_2020ha_CRACMM_12US1.log
2,True,219600,'WARNING: Ignoring county cross-reference for inventory county .*',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPD/logs/movesmrg_RPD_onroad_ca_adj_aug_P105_2020ha_CRACMM_20200815_12US1_cmaq_cracmmv1.log
2,True,12,'WARNING: No toxics were selected from the inventory as a subtratacter for the NHAPEXCLUDE processing.',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPD/logs/smkinven_RPD_onroad_ca_adj_dec_P105_2020ha_CRACMM.log
2,True,19716,'WARNING: Emission factors file does not contain requested model species .*',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPD/logs/movesmrg_RPD_onroad_ca_adj_aug_P105_2020ha_CRACMM_20200815_12US1_cmaq_cracmmv1.log
2,True,372,'WARNING: Emission factors file does not contain requested inventory pollutant .*',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPD/logs/movesmrg_RPD_onroad_ca_adj_aug_P105_2020ha_CRACMM_20200815_12US1_cmaq_cracmmv1.log
3,True,264,'Value for SMK_MAXWARNING:',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPD/logs/smkinven_RPD_onroad_ca_adj_dec_P105_2020ha_CRACMM.log
3,True,36,'Value for SMK_MAXERROR:',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPD/logs/smkinven_RPD_onroad_ca_adj_dec_P105_2020ha_CRACMM.log
3,True,120,'>>--->> WARNING in subroutine',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPD/logs/smkinven_RPD_onroad_ca_adj_dec_P105_2020ha_CRACMM.log
3,True,44,'WARNING: output file already exists:',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPD/logs/smkreport_RPD_onroad_ca_adj_jan_P105_2020ha_CRACMM_inv.log
3,True,2400,'WARNING: Missing average day emissions for',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPD/logs/smkinven_RPD_onroad_ca_adj_dec_P105_2020ha_CRACMM.log
3,True,60,'WARNING: Base year of .* file: .*',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPD/logs/movesmrg_RPD_onroad_ca_adj_aug_P105_2020ha_CRACMM_20200815_12US1_cmaq_cracmmv1.log
3,True,60,'WARNING: Reset MRG_REPSCC_YN, MRG_REPCNY, and MRG_REPSTA_YN to N since MRG_REPSRC_YN is set to Y',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPD/logs/movesmrg_RPD_onroad_ca_adj_aug_P105_2020ha_CRACMM_20200815_12US1_cmaq_cracmmv1.log
3,True,12,'Value for DEFAULT_CONV_FAC_ERROR: .*',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPD/logs/spcmat_RPD_onroad_ca_adj_sep_P105_2020ha_CRACMM_cmaq_cracmmv1.log
3,True,4135200,'WARNING: .* is not found in both inventory pollutant and model species lists.',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPD/logs/movesmrg_RPD_onroad_ca_adj_aug_P105_2020ha_CRACMM_20200815_12US1_cmaq_cracmmv1.log
3,True,1500,'WARNING: SCC .* at line .* does not match inventory.',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPD/logs/movesmrg_RPD_onroad_ca_adj_aug_P105_2020ha_CRACMM_20200815_12US1_cmaq_cracmmv1.log
3,True,2452296,'WARNING: .* county is not a reference counties at line',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPD/logs/spcmat_RPD_onroad_ca_adj_sep_P105_2020ha_CRACMM_cmaq_cracmmv1.log
