priority,known,count,message type,first file
2,True,24,'WARNING: No speciation profiles found for pollutant',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPS/logs/spcmat_RPS_onroad_ca_adj_dec_P105_2020ha_CRACMM_cmaq_cracmmv1.log
2,True,30516,'WARNING: Re-normalizing county total surrogate fractions of Co/St/Ct: .* :: Surrogate: .* greater than 1 ::   .*',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPS/logs/grdmat_RPS_onroad_ca_adj_jul_P105_2020ha_CRACMM_12US1.log
2,True,219600,'WARNING: Ignoring county cross-reference for inventory county .*',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPS/logs/movesmrg_RPS_onroad_ca_adj_jan_P105_2020ha_CRACMM_20200122_12US1_cmaq_cracmmv1.log
2,True,12,'WARNING: No toxics were selected from the inventory as a subtratacter for the NHAPEXCLUDE processing.',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPS/logs/smkinven_RPS_onroad_ca_adj_aug_P105_2020ha_CRACMM.log
2,True,20832,'WARNING: Emission factors file does not contain requested model species .*',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPS/logs/movesmrg_RPS_onroad_ca_adj_jan_P105_2020ha_CRACMM_20200122_12US1_cmaq_cracmmv1.log
2,True,744,'WARNING: Emission factors file does not contain requested inventory pollutant .*',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPS/logs/movesmrg_RPS_onroad_ca_adj_jan_P105_2020ha_CRACMM_20200122_12US1_cmaq_cracmmv1.log
3,True,204,'Value for SMK_MAXWARNING:',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPS/logs/movesmrg_RPS_onroad_ca_adj_jan_P105_2020ha_CRACMM_20200122_12US1_cmaq_cracmmv1.log
3,True,36,'Value for SMK_MAXERROR:',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPS/logs/spcmat_RPS_onroad_ca_adj_dec_P105_2020ha_CRACMM_cmaq_cracmmv1.log
3,True,120,'>>--->> WARNING in subroutine',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPS/logs/movesmrg_RPS_onroad_ca_adj_jan_P105_2020ha_CRACMM_20200122_12US1_cmaq_cracmmv1.log
3,True,39,'WARNING: output file already exists:',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPS/logs/movesmrg_RPS_onroad_ca_adj_mar_P105_2020ha_CRACMM_20200308_12US1_cmaq_cracmmv1.log
3,True,60,'WARNING: Reset MRG_REPSCC_YN, MRG_REPCNY, and MRG_REPSTA_YN to N since MRG_REPSRC_YN is set to Y',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPS/logs/movesmrg_RPS_onroad_ca_adj_jan_P105_2020ha_CRACMM_20200122_12US1_cmaq_cracmmv1.log
3,True,12,'Value for DEFAULT_CONV_FAC_ERROR: .*',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPS/logs/spcmat_RPS_onroad_ca_adj_dec_P105_2020ha_CRACMM_cmaq_cracmmv1.log
3,True,1511280,'WARNING: .* is not found in both inventory pollutant and model species lists.',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPS/logs/movesmrg_RPS_onroad_ca_adj_jan_P105_2020ha_CRACMM_20200122_12US1_cmaq_cracmmv1.log
3,True,9480,'WARNING: SCC .* at line .* does not match inventory.',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPS/logs/movesmrg_RPS_onroad_ca_adj_jan_P105_2020ha_CRACMM_20200122_12US1_cmaq_cracmmv1.log
3,True,281314,'WARNING: .* county is not a reference counties at line',/work/MOD3DEV/callen05/P105/P105_2020ha_CRACMM/intermed/onroad_ca_adj/RPS/logs/spcmat_RPS_onroad_ca_adj_dec_P105_2020ha_CRACMM_cmaq_cracmmv1.log
