priority,known,count,message type,first file
2,True,2,'WARNING: Largest negative value for',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/smkinven_ptnonipm_2017gb_task40_tag1_17j.log
2,True,10,'WARNING: No kept pollutants found at line .*',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/smkinven_ptnonipm_2017gb_task40_tag1_17j.log
2,True,1,'WARNING: No speciation profiles found for pollutant',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/spcmat_ptnonipm_2017gb_task40_tag1_17j_cmaq_cb6ae7.log
2,True,757,'WARNING: Description of NAICS',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/smkreport_ptnonipm_2017gb_task40_tag1_17j_inv.log
3,True,19,'Value for SMK_MAXWARNING:',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/temporal_ptnonipm_dec_2017gb_task40_tag1_17j_20171204.log
3,True,14,'Value for SMK_MAXERROR:',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/temporal_ptnonipm_dec_2017gb_task40_tag1_17j_20171204.log
3,True,90,'>>--->> WARNING in subroutine',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/smkmerge_ptnonipm_feb_2017gb_task40_tag1_17j_20170207_12US2_cmaq_cb6ae7.log
3,True,1,'WARNING: Missing control efficiency for',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/smkinven_ptnonipm_2017gb_task40_tag1_17j.log
3,True,1,'WARNING: No grouping criteria in PELVCONFIG will likely',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/elevpoint_ptnonipm_2017gb_task40_tag1_17j_12US2.log
3,True,1,'WARNING: output file already exists:',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/smkinven_ptnonipm_2017gb_task40_tag1_17j.log
3,True,3,'WARNING: Records in GSCNV file for pollutant',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/spcmat_ptnonipm_2017gb_task40_tag1_17j_cmaq_cb6ae7.log
3,True,20,'WARNING: Resetting negative value of',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/smkinven_ptnonipm_2017gb_task40_tag1_17j.log
3,True,1,'WARNING: Some base year control efficiency values',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/smkinven_ptnonipm_2017gb_task40_tag1_17j.log
3,True,2,'WARNING: Missing average day emissions for',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/smkinven_ptnonipm_2017gb_task40_tag1_17j.log
3,True,3,'WARNING: CAS number .* at line .* is not in the inventory pollutants list',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/smkinven_ptnonipm_2017gb_task40_tag1_17j.log
3,True,462,'WARNING: Different descriptions for the same data name at line .*',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/smkmerge_ptnonipm_feb_2017gb_task40_tag1_17j_20170207_12US2_cmaq_cb6ae7.log
3,True,1,'Value for DEFAULT_CONV_FAC_ERROR not defined;returning default:   FALSE',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/spcmat_ptnonipm_2017gb_task40_tag1_17j_cmaq_cb6ae7.log
3,True,1,'WARNING: Negative stack height :: Reset to zero at line',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/smkinven_ptnonipm_2017gb_task40_tag1_17j.log
3,True,1,'WARNING: Negative stack diameter :: Reset to zero at line',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/smkinven_ptnonipm_2017gb_task40_tag1_17j.log
3,True,1,'WARNING: Negative stack exit velocity :: Reset to zero at line',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/smkinven_ptnonipm_2017gb_task40_tag1_17j.log
3,True,1,'WARNING: Negative stack exit temperature :: Reset to zero at line',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/smkinven_ptnonipm_2017gb_task40_tag1_17j.log
3,True,55488,'WARNING: SCC .* at line .* does not match inventory.',/work/EMIS/em_v8/2017platformtag/2017gb_task40_tag1_17j/intermed/ptnonipm/logs/smkmerge_ptnonipm_feb_2017gb_task40_tag1_17j_20170207_12US2_cmaq_cb6ae7.log
