# Fractions for sparse transform matrix
# FRAC=Area(INCELL&OUTCELL)/Area(INCELL)
# INGRID    36US3           
# OUTGRID   HEMI_108k       
#         OUTROW      OUTCOL       INROW       INCOL        FRAC
          17          86           1          59   5.000000E-03
          17          86           1          60   5.000000E-02
          17          86           1          61   4.250000E-02
          17          87           1          61   2.000000E-02
          17          87           1          62   9.999999E-02
          17          87           1          63   1.050000E-01
          17          87           1          64   3.000000E-02
          17          88           1          64   1.200000E-01
          17          88           1          65   1.500000E-01
          17          88           1          66   9.000000E-02
          17          89           1          66   7.750000E-02
          17          89           1          67   2.000000E-01
          17          89           1          68   2.000000E-01
          17          90           1          69   2.000000E-01
          17          90           1          70   2.000000E-01
          17          90           1          71   8.250000E-02
          17          91           1          71   1.500000E-01
          17          91           1          72   2.500000E-01
          17          91           1          73   2.000000E-01
          17          92           1          73   5.000000E-02
          17          92           1          74   2.500000E-01
          17          92           1          75   2.500000E-01
          17          92           1          76   5.000000E-02
          17          93           1          76   2.000000E-01
          17          93           1          77   2.150000E-01
          17          93           1          78   1.200000E-01
          17          94           1          78   8.000000E-02
          17          94           1          79   2.000000E-01
          17          94           1          80   2.000000E-01
          17          95           1          81   2.000000E-01
          17          95           1          82   1.500000E-01
          17          95           1          83   6.000000E-02
          17          96           1          83   9.000000E-02
          17          96           1          84   1.375000E-01
          17          96           1          85   8.000000E-02
          17          97           1          85   2.000000E-02
          17          97           1          86   9.500000E-02
          17          97           1          87   5.000000E-02
          17          97           1          88   1.000000E-02
          17          98           1          88   2.750000E-02
          18          70           1          23   1.250000E-02
          18          71           1          23   3.250000E-02
          18          71           1          24   1.450000E-01
          18          71           1          25   2.225000E-01
          18          72           1          25   2.000000E-02
          18          72           1          26   3.375000E-01
          18          72           1          27   4.325000E-01
          18          72           1          28   1.525000E-01
          18          73           1          28   3.725000E-01
          18          73           1          29   6.175000E-01
          18          73           1          30   4.700000E-01
          18          74           1          30   2.350000E-01
          18          74           1          31   7.900000E-01
          18          74           1          32   8.750000E-01
          18          74           1          33   6.250000E-02
          18          75           1          33   8.975000E-01
          18          75           1          34   1.000000E+00
          18          75           1          35   4.525000E-01
          18          75           2          34   3.750000E-02
          18          75           2          35   4.000000E-02
          18          76           1          35   5.475000E-01
          18          76           1          36   1.000000E+00
          18          76           1          37   8.400000E-01
          18          76           2          35   8.000000E-02
          18          76           2          36   1.925000E-01
          18          76           2          37   2.100000E-01
          18          77           1          37   1.600000E-01
          18          77           1          38   1.000000E+00
          18          77           1          39   1.000000E+00
          18          77           1          40   2.325000E-01
          18          77           2          37   6.000000E-02
          18          77           2          38   3.400000E-01
          18          77           2          39   4.175000E-01
          18          77           2          40   8.500000E-02
          18          78           1          40   7.675000E-01
          18          78           1          41   1.000000E+00
          18          78           1          42   6.250000E-01
          18          78           2          40   3.950000E-01
          18          78           2          41   5.475000E-01
          18          78           2          42   3.450000E-01
          18          79           1          42   3.750000E-01
          18          79           1          43   1.000000E+00
          18          79           1          44   1.000000E+00
          18          79           1          45   2.000000E-02
          18          79           2          42   2.725000E-01
          18          79           2          43   6.775000E-01
          18          79           2          44   7.100000E-01
          18          80           1          45   9.800000E-01
          18          80           1          46   1.000000E+00
          18          80           1          47   4.150000E-01
          18          80           2          44   2.500000E-02
          18          80           2          45   7.950000E-01
          18          80           2          46   8.575000E-01
          18          80           2          47   3.275000E-01
          18          81           1          47   5.850000E-01
          18          81           1          48   1.000000E+00
          18          81           1          49   8.100000E-01
          18          81           2          47   5.825000E-01
          18          81           2          48   9.625000E-01
          18          81           2          49   7.600000E-01
          18          82           1          49   1.900000E-01
          18          82           1          50   1.000000E+00
          18          82           1          51   1.000000E+00
          18          82           1          52   2.025000E-01
          18          82           2          49   2.400000E-01
          18          82           2          50   1.000000E+00
          18          82           2          51   1.000000E+00
          18          82           2          52   1.600000E-01
          18          82           3          49   1.250000E-02
          18          82           3          50   6.250000E-02
          18          82           3          51   1.075000E-01
          18          82           3          52   2.250000E-02
          18          83           1          52   7.975000E-01
          18          83           1          53   1.000000E+00
          18          83           1          54   6.000000E-01
          18          83           2          52   8.400000E-01
          18          83           2          53   1.000000E+00
          18          83           2          54   5.600000E-01
          18          83           3          52   1.300000E-01
          18          83           3          53   2.000000E-01
          18          83           3          54   1.300000E-01
          18          84           1          54   4.000000E-01
          18          84           1          55   1.000000E+00
          18          84           1          56   1.000000E+00
          18          84           2          54   4.400000E-01
          18          84           2          55   1.000000E+00
          18          84           2          56   9.600000E-01
          18          84           3          54   1.125000E-01
          18          84           3          55   2.800000E-01
          18          84           3          56   2.950000E-01
          18          85           1          57   1.000000E+00
          18          85           1          58   1.000000E+00
          18          85           1          59   4.000000E-01
          18          85           2          56   4.000000E-02
          18          85           2          57   1.000000E+00
          18          85           2          58   1.000000E+00
          18          85           2          59   3.625000E-01
          18          85           3          56   1.750000E-02
          18          85           3          57   3.500000E-01
          18          85           3          58   3.875000E-01
          18          85           3          59   1.400000E-01
          18          86           1          59   5.950000E-01
          18          86           1          60   9.500000E-01
          18          86           1          61   7.575000E-01
          18          86           2          59   6.375000E-01
          18          86           2          60   1.000000E+00
          18          86           2          61   7.650000E-01
          18          86           3          59   2.675000E-01
          18          86           3          60   4.500000E-01
          18          86           3          61   3.425000E-01
          18          87           1          61   1.800000E-01
          18          87           1          62   9.000000E-01
          18          87           1          63   8.950000E-01
          18          87           1          64   1.700000E-01
          18          87           2          61   2.350000E-01
          18          87           2          62   1.000000E+00
          18          87           2          63   1.000000E+00
          18          87           2          64   1.725000E-01
          18          87           3          61   1.250000E-01
          18          87           3          62   5.000000E-01
          18          87           3          63   5.125000E-01
          18          87           3          64   8.250000E-02
          18          88           1          64   6.800000E-01
          18          88           1          65   8.500000E-01
          18          88           1          66   5.100000E-01
          18          88           2          64   8.275000E-01
          18          88           2          65   1.000000E+00
          18          88           2          66   5.850000E-01
          18          88           3          64   4.675000E-01
          18          88           3          65   5.500000E-01
          18          88           3          66   3.100000E-01
          18          89           1          66   3.225000E-01
          18          89           1          67   8.000000E-01
          18          89           1          68   8.000000E-01
          18          89           2          66   4.150000E-01
          18          89           2          67   1.000000E+00
          18          89           2          68   1.000000E+00
          18          89           3          66   2.700000E-01
          18          89           3          67   6.000000E-01
          18          89           3          68   5.825000E-01
          18          90           1          69   8.000000E-01
          18          90           1          70   8.000000E-01
          18          90           1          71   3.175000E-01
          18          90           2          69   1.000000E+00
          18          90           2          70   1.000000E+00
          18          90           2          71   4.000000E-01
          18          90           3          68   1.750000E-02
          18          90           3          69   6.000000E-01
          18          90           3          70   6.200000E-01
          18          90           3          71   2.600000E-01
          18          91           1          71   4.500000E-01
          18          91           1          72   7.500000E-01
          18          91           1          73   6.000000E-01
          18          91           2          71   6.000000E-01
          18          91           2          72   1.000000E+00
          18          91           2          73   8.000000E-01
          18          91           3          71   3.900000E-01
          18          91           3          72   6.500000E-01
          18          91           3          73   5.200000E-01
          18          92           1          73   1.500000E-01
          18          92           1          74   7.500000E-01
          18          92           1          75   7.500000E-01
          18          92           1          76   1.500000E-01
          18          92           2          73   2.000000E-01
          18          92           2          74   1.000000E+00
          18          92           2          75   1.000000E+00
          18          92           2          76   2.000000E-01
          18          92           3          73   1.300000E-01
          18          92           3          74   6.500000E-01
          18          92           3          75   6.500000E-01
          18          92           3          76   1.300000E-01
          18          93           1          76   6.000000E-01
          18          93           1          77   7.850000E-01
          18          93           1          78   4.800000E-01
          18          93           2          76   8.000000E-01
          18          93           2          77   1.000000E+00
          18          93           2          78   6.000000E-01
          18          93           3          76   5.200000E-01
          18          93           3          77   6.500000E-01
          18          93           3          78   3.700000E-01
          18          94           1          78   3.200000E-01
          18          94           1          79   8.000000E-01
          18          94           1          80   8.000000E-01
          18          94           2          78   4.000000E-01
          18          94           2          79   1.000000E+00
          18          94           2          80   1.000000E+00
          18          94           3          78   2.400000E-01
          18          94           3          79   6.000000E-01
          18          94           3          80   6.000000E-01
          18          94           3          81   1.000000E-02
          18          95           1          81   8.000000E-01
          18          95           1          82   8.500000E-01
          18          95           1          83   3.400000E-01
          18          95           2          81   1.000000E+00
          18          95           2          82   1.000000E+00
          18          95           2          83   4.100000E-01
          18          95           3          81   5.900000E-01
          18          95           3          82   5.675000E-01
          18          95           3          83   2.475000E-01
          18          96           1          83   5.100000E-01
          18          96           1          84   8.625000E-01
          18          96           1          85   7.200000E-01
          18          96           2          83   5.900000E-01
          18          96           2          84   1.000000E+00
          18          96           2          85   8.300000E-01
          18          96           3          83   3.025000E-01
          18          96           3          84   5.500000E-01
          18          96           3          85   4.250000E-01
