    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20220901, 20220913, 20220913, 20220913, 20220913, 20220915, 20220915, 20220901
20220902, 20220913, 20220913, 20220913, 20220913, 20220916, 20220916, 20220902
20220903, 20220913, 20220913, 20220917, 20220917, 20220917, 20220917, 20220903
20220904, 20220913, 20220913, 20220918, 20220918, 20220918, 20220918, 20220904
20220905, 20220913, 20220905, 20220912, 20220905, 20220912, 20220905, 20220905
20220906, 20220913, 20220906, 20220913, 20220906, 20220913, 20220906, 20220906
20220907, 20220913, 20220913, 20220913, 20220913, 20220914, 20220914, 20220907
20220908, 20220913, 20220913, 20220913, 20220913, 20220915, 20220915, 20220908
20220909, 20220913, 20220913, 20220913, 20220913, 20220916, 20220916, 20220909
20220910, 20220913, 20220913, 20220917, 20220917, 20220917, 20220917, 20220910
20220911, 20220913, 20220913, 20220918, 20220918, 20220918, 20220918, 20220911
20220912, 20220913, 20220913, 20220912, 20220912, 20220912, 20220912, 20220912
20220913, 20220913, 20220913, 20220913, 20220913, 20220913, 20220913, 20220913
20220914, 20220913, 20220913, 20220913, 20220913, 20220914, 20220914, 20220914
20220915, 20220913, 20220913, 20220913, 20220913, 20220915, 20220915, 20220915
20220916, 20220913, 20220913, 20220913, 20220913, 20220916, 20220916, 20220916
20220917, 20220913, 20220913, 20220917, 20220917, 20220917, 20220917, 20220917
20220918, 20220913, 20220913, 20220918, 20220918, 20220918, 20220918, 20220918
20220919, 20220913, 20220913, 20220912, 20220912, 20220912, 20220912, 20220919
20220920, 20220913, 20220913, 20220913, 20220913, 20220913, 20220913, 20220920
20220921, 20220913, 20220913, 20220913, 20220913, 20220914, 20220914, 20220921
20220922, 20220913, 20220913, 20220913, 20220913, 20220915, 20220915, 20220922
20220923, 20220913, 20220913, 20220913, 20220913, 20220916, 20220916, 20220923
20220924, 20220913, 20220913, 20220917, 20220917, 20220917, 20220917, 20220924
20220925, 20220913, 20220913, 20220918, 20220918, 20220918, 20220918, 20220925
20220926, 20220913, 20220913, 20220912, 20220912, 20220912, 20220912, 20220926
20220927, 20220913, 20220913, 20220913, 20220913, 20220913, 20220913, 20220927
20220928, 20220913, 20220913, 20220913, 20220913, 20220914, 20220914, 20220928
20220929, 20220913, 20220913, 20220913, 20220913, 20220915, 20220915, 20220929
20220930, 20220913, 20220913, 20220913, 20220913, 20220916, 20220916, 20220930
