sourceTypeID,monthID,roadTypeID,dayID,dayVMTFraction
11,7,1,2,0.237635
11,7,1,5,0.762365
11,7,2,2,0.27882
11,7,2,5,0.72118
11,7,3,2,0.27882
11,7,3,5,0.72118
11,7,4,2,0.237635
11,7,4,5,0.762365
11,7,5,2,0.237635
11,7,5,5,0.762365
21,7,1,2,0.237635
21,7,1,5,0.762365
21,7,2,2,0.27882
21,7,2,5,0.72118
21,7,3,2,0.27882
21,7,3,5,0.72118
21,7,4,2,0.237635
21,7,4,5,0.762365
21,7,5,2,0.237635
21,7,5,5,0.762365
31,7,1,2,0.237635
31,7,1,5,0.762365
31,7,2,2,0.27882
31,7,2,5,0.72118
31,7,3,2,0.27882
31,7,3,5,0.72118
31,7,4,2,0.237635
31,7,4,5,0.762365
31,7,5,2,0.237635
31,7,5,5,0.762365
32,7,1,2,0.237635
32,7,1,5,0.762365
32,7,2,2,0.27882
32,7,2,5,0.72118
32,7,3,2,0.27882
32,7,3,5,0.72118
32,7,4,2,0.237635
32,7,4,5,0.762365
32,7,5,2,0.237635
32,7,5,5,0.762365
41,7,1,2,0.237635
41,7,1,5,0.762365
41,7,2,2,0.27882
41,7,2,5,0.72118
41,7,3,2,0.27882
41,7,3,5,0.72118
41,7,4,2,0.237635
41,7,4,5,0.762365
41,7,5,2,0.237635
41,7,5,5,0.762365
42,7,1,2,0.237635
42,7,1,5,0.762365
42,7,2,2,0.27882
42,7,2,5,0.72118
42,7,3,2,0.27882
42,7,3,5,0.72118
42,7,4,2,0.237635
42,7,4,5,0.762365
42,7,5,2,0.237635
42,7,5,5,0.762365
43,7,1,2,0.237635
43,7,1,5,0.762365
43,7,2,2,0.27882
43,7,2,5,0.72118
43,7,3,2,0.27882
43,7,3,5,0.72118
43,7,4,2,0.237635
43,7,4,5,0.762365
43,7,5,2,0.237635
43,7,5,5,0.762365
51,7,1,2,0.237635
51,7,1,5,0.762365
51,7,2,2,0.27882
51,7,2,5,0.72118
51,7,3,2,0.27882
51,7,3,5,0.72118
51,7,4,2,0.237635
51,7,4,5,0.762365
51,7,5,2,0.237635
51,7,5,5,0.762365
52,7,1,2,0.237635
52,7,1,5,0.762365
52,7,2,2,0.27882
52,7,2,5,0.72118
52,7,3,2,0.27882
52,7,3,5,0.72118
52,7,4,2,0.237635
52,7,4,5,0.762365
52,7,5,2,0.237635
52,7,5,5,0.762365
53,7,1,2,0.237635
53,7,1,5,0.762365
53,7,2,2,0.27882
53,7,2,5,0.72118
53,7,3,2,0.27882
53,7,3,5,0.72118
