sourceTypeID,roadTypeID,dayID,hourID,hourVMTFraction
11,1,2,1,0.0214739
11,1,2,2,0.0144428
11,1,2,3,0.0109684
11,1,2,4,0.00749451
11,1,2,5,0.00683855
11,1,2,6,0.0103588
11,1,2,7,0.0184304
11,1,2,8,0.0268117
11,1,2,9,0.0363852
11,1,2,10,0.0475407
11,1,2,11,0.0574664
11,1,2,12,0.0650786
11,1,2,13,0.0713228
11,1,2,14,0.0714917
11,1,2,15,0.0717226
11,1,2,16,0.0720061
11,1,2,17,0.0711487
11,1,2,18,0.0678874
11,1,2,19,0.0617718
11,1,2,20,0.0516882
11,1,2,21,0.0428658
11,1,2,22,0.0380302
11,1,2,23,0.0322072
11,1,2,24,0.0245677
11,1,5,1,0.00986211
11,1,5,2,0.00627248
11,1,5,3,0.00505767
11,1,5,4,0.00466686
11,1,5,5,0.00699469
11,1,5,6,0.018494
11,1,5,7,0.0459565
11,1,5,8,0.0696444
11,1,5,9,0.0608279
11,1,5,10,0.0502862
11,1,5,11,0.0499351
11,1,5,12,0.0543654
11,1,5,13,0.0576462
11,1,5,14,0.0580319
11,1,5,15,0.0622554
11,1,5,16,0.0710049
11,1,5,17,0.0769725
11,1,5,18,0.077432
11,1,5,19,0.059783
11,1,5,20,0.0443923
11,1,5,21,0.0354458
11,1,5,22,0.031824
11,1,5,23,0.0249419
11,1,5,24,0.0179068
11,2,2,1,0.0164213
11,2,2,2,0.0111921
11,2,2,3,0.0085415
11,2,2,4,0.00679328
11,2,2,5,0.00721894
11,2,2,6,0.0107619
11,2,2,7,0.01768
11,2,2,8,0.0268751
11,2,2,9,0.0386587
11,2,2,10,0.0522389
11,2,2,11,0.0631739
11,2,2,12,0.0699435
11,2,2,13,0.0729332
11,2,2,14,0.0731218
11,2,2,15,0.0736159
11,2,2,16,0.0744608
11,2,2,17,0.0742165
11,2,2,18,0.0700091
11,2,2,19,0.0614038
11,2,2,20,0.0505043
11,2,2,21,0.0412072
11,2,2,22,0.0336373
11,2,2,23,0.0262243
11,2,2,24,0.0191666
